Vehicle_ID,Vehicle_Type,Vehicle_Age,Mileage,Engine_Temp,RPM,Oil_Pressure,Fuel_Consumption,Battery_Voltage,Brake_Pressure,Tire_Pressure,Tire_Condition,Vibration_Level,Last_Service_Months,Accident_History,Health_Score,KM_Range_Before_Defect
V00024,Sedan,6,42403,108,2271,37,10.6,11.39,38,59,Good,Low,6,No,80,"80,001+"
V00025,Truck,9,48434,96,2082,36,10.2,12.04,35,55,Moderate,High,4,No,80,"80,001+"
V00026,Hatchback,4,113482,106,2712,36,9.1,12.16,42,70,Critical,Low,8,No,60,"50,001–80,000"
V00027,Hatchback,15,69357,98,2770,49,12.2,12.21,30,86,Good,Medium,12,Yes,80,"80,001+"
V00028,Sedan,4,17402,85,2912,23,17.7,11.48,40,37,Moderate,Low,2,Yes,80,"80,001+"
V00029,Sedan,1,19010,103,1532,27,15.1,12.98,34,102,Critical,Low,8,No,40,"25,001–50,000"
V00030,SUV,1,181540,85,1506,36,7.2,11.85,38,48,Moderate,Low,11,Yes,90,"80,001+"
V00031,SUV,11,116556,110,2553,44,9.0,11.97,40,90,Critical,Medium,5,Yes,50,"25,001–50,000"
V00032,SUV,6,117086,87,1651,48,17.5,12.43,30,110,Worn,Low,11,No,90,"80,001+"
V00033,Truck,5,68689,107,2106,32,19.1,11.59,31,33,Good,Medium,4,Yes,80,"80,001+"
V00034,Hatchback,12,178545,102,2188,45,12.7,11.68,34,59,Worn,Medium,9,No,60,"50,001–80,000"
V00035,Truck,2,91920,110,1629,22,6.3,12.93,37,38,Moderate,Low,10,Yes,50,"25,001–50,000"
V00036,Hatchback,5,55538,103,2301,28,10.1,12.23,33,61,Good,High,6,Yes,40,"25,001–50,000"
V00037,Hatchback,9,113202,99,2233,24,17.1,12.18,43,83,Moderate,High,8,No,60,"50,001–80,000"
V00038,Truck,13,56769,92,2812,25,19.3,11.36,40,47,Good,Low,2,No,70,"50,001–80,000"
V00039,Sedan,6,155079,103,1843,29,15.8,11.66,34,55,Good,Low,10,Yes,50,"25,001–50,000"
V00040,SUV,15,45387,87,1987,23,13.8,11.51,42,71,Critical,Medium,3,Yes,50,"25,001–50,000"
V00041,SUV,7,114728,94,2627,25,14.3,11.12,40,86,Critical,Low,10,No,50,"25,001–50,000"
V00042,Truck,12,119131,104,1722,49,5.4,12.22,44,55,Critical,Low,8,No,50,"25,001–50,000"
V00043,Truck,1,193391,98,1818,46,18.1,11.02,39,45,Worn,High,6,Yes,80,"80,001+"
V00044,SUV,15,7478,92,2947,22,11.7,11.15,36,39,Critical,High,7,Yes,30,"10,001–25,000"
V00045,Truck,11,110212,97,1996,37,15.1,12.11,32,94,Critical,Low,1,Yes,70,"50,001–80,000"
V00046,SUV,1,127014,106,2807,49,10.5,11.05,39,81,Critical,Medium,4,No,60,"50,001–80,000"
V00047,Hatchback,11,53178,85,2924,50,17.9,12.95,35,49,Moderate,Low,4,Yes,90,"80,001+"
V00048,Sedan,2,153902,94,1791,40,14.1,11.33,40,31,Good,Low,9,No,90,"80,001+"
V00049,Truck,7,30908,86,1514,22,12.1,12.05,31,104,Good,Medium,1,No,80,"80,001+"
V00050,Hatchback,12,182780,100,2334,27,13.5,12.32,30,88,Moderate,Medium,1,Yes,70,"50,001–80,000"
V00051,Sedan,1,116743,87,2980,23,6.6,11.31,44,109,Good,High,4,No,60,"50,001–80,000"
V00052,Truck,14,189062,86,2035,42,17.3,12.62,35,46,Moderate,Medium,10,Yes,80,"80,001+"
V00053,Truck,15,12279,106,1807,25,7.7,12.27,42,83,Moderate,Medium,12,No,40,"25,001–50,000"
V00054,SUV,6,51376,100,1841,22,12.6,11.42,31,72,Good,Medium,7,Yes,80,"80,001+"
V00055,Sedan,8,36938,96,2368,28,18.8,11.49,42,39,Moderate,Low,7,No,80,"80,001+"
V00056,Truck,10,49911,97,2379,30,18.8,12.2,41,85,Good,Medium,10,Yes,90,"80,001+"
V00057,SUV,8,5111,97,1538,44,12.1,11.6,40,110,Critical,High,6,Yes,60,"50,001–80,000"
V00058,Sedan,9,62365,92,2683,39,10.3,12.79,44,61,Moderate,Medium,5,Yes,100,"80,001+"
V00059,Hatchback,12,142570,109,2244,35,11.5,11.7,37,81,Worn,Medium,4,Yes,70,"50,001–80,000"
V00060,SUV,6,68362,87,1954,47,5.6,12.8,32,68,Worn,Medium,4,No,100,"80,001+"
V00061,Truck,12,82638,102,2685,22,15.5,12.54,32,75,Worn,Low,1,Yes,50,"25,001–50,000"
V00062,Sedan,12,50128,93,1575,30,6.5,12.37,35,103,Worn,Medium,5,No,90,"80,001+"
V00063,Hatchback,7,83717,100,1570,25,17.1,11.08,45,69,Critical,High,2,Yes,40,"25,001–50,000"
V00064,Hatchback,7,184280,107,1989,27,14.7,12.85,39,51,Worn,Medium,1,No,60,"50,001–80,000"
V00065,SUV,3,7773,101,2584,30,16.3,11.56,33,88,Good,High,4,Yes,60,"50,001–80,000"
V00066,Hatchback,15,35965,105,1784,30,15.7,12.09,33,42,Worn,Medium,12,No,60,"50,001–80,000"
V00067,Truck,6,97245,93,2652,49,11.2,12.37,43,33,Good,Low,12,Yes,90,"80,001+"
V00068,SUV,10,149539,90,2325,29,16.1,12.87,32,91,Good,High,4,Yes,60,"50,001–80,000"
V00069,Sedan,9,106628,90,2234,35,13.5,12.78,37,97,Moderate,High,8,Yes,80,"80,001+"
V00070,Hatchback,13,163971,100,2584,23,16.6,12.97,45,84,Worn,Low,8,No,70,"50,001–80,000"
V00071,SUV,13,101205,101,1750,21,16.7,12.89,36,36,Good,High,9,No,20,"10,001–25,000"
V00072,Sedan,9,59087,106,2913,26,16.0,12.28,40,71,Worn,Low,4,No,60,"50,001–80,000"
V00073,SUV,10,106824,97,2029,46,19.6,11.79,38,68,Good,Low,1,Yes,100,"80,001+"
V00074,Truck,5,168885,90,1812,49,16.8,12.23,35,41,Critical,Low,11,No,70,"50,001–80,000"
V00075,Sedan,1,164978,93,2430,21,10.3,11.13,42,85,Moderate,Medium,5,No,80,"80,001+"
V00076,SUV,5,113240,96,2162,27,13.2,12.53,41,93,Moderate,Low,2,No,80,"80,001+"
V00077,Truck,7,15889,88,1863,42,6.5,12.44,41,61,Good,Low,7,Yes,100,"80,001+"
V00078,Hatchback,9,99442,108,1607,20,5.7,11.32,31,83,Good,Low,1,No,60,"50,001–80,000"
V00079,Truck,5,54960,109,2574,49,17.3,11.08,42,41,Critical,Medium,5,Yes,60,"50,001–80,000"
V00080,Truck,1,92698,107,2231,48,10.2,11.85,30,34,Worn,Medium,8,Yes,80,"80,001+"
V00081,Sedan,11,162165,95,2016,39,12.3,12.83,36,43,Critical,Medium,8,No,70,"50,001–80,000"
V00082,SUV,8,101943,92,2455,32,14.1,12.76,30,103,Worn,Medium,6,No,100,"80,001+"
V00083,Hatchback,7,31633,95,2813,32,7.9,12.26,35,61,Good,High,12,Yes,70,"50,001–80,000"
V00084,Hatchback,5,112497,102,2480,23,10.8,12.33,38,37,Good,Medium,1,Yes,60,"50,001–80,000"
V00085,Sedan,1,95162,96,1755,43,16.5,12.17,35,104,Moderate,Medium,2,Yes,100,"80,001+"
V00086,Sedan,10,20821,101,2453,37,6.8,11.42,35,97,Critical,High,8,Yes,40,"25,001–50,000"
V00087,Hatchback,3,132667,104,2350,48,13.7,11.11,34,36,Critical,Low,10,No,50,"25,001–50,000"
V00088,Hatchback,1,171384,97,2552,38,12.0,11.68,34,106,Good,Medium,4,Yes,100,"80,001+"
V00089,Hatchback,1,121557,97,1520,40,11.6,11.85,35,71,Worn,Low,6,No,100,"80,001+"
V00090,SUV,3,171915,107,2874,25,13.3,12.02,39,53,Moderate,Medium,5,Yes,60,"50,001–80,000"
V00091,Sedan,7,63368,95,2405,24,8.8,12.52,40,100,Moderate,Medium,8,No,80,"80,001+"
V00092,Hatchback,13,142401,98,1827,28,14.8,11.79,30,108,Moderate,High,7,No,50,"25,001–50,000"
V00093,Truck,4,129950,85,2069,27,12.3,12.11,38,62,Good,High,2,Yes,60,"50,001–80,000"
V00094,Truck,12,59585,98,2494,39,6.1,12.94,45,44,Moderate,High,4,No,70,"50,001–80,000"
V00095,Hatchback,1,144419,102,1890,33,6.3,11.24,32,79,Worn,Low,1,No,80,"80,001+"
V00096,Sedan,4,20732,88,1619,34,12.4,12.41,42,62,Moderate,High,9,Yes,70,"50,001–80,000"
V00097,Sedan,1,188998,88,1857,48,11.9,12.15,44,93,Good,Low,10,Yes,90,"80,001+"
V00098,Hatchback,10,189758,96,2732,28,7.4,12.85,45,34,Moderate,Low,3,No,80,"80,001+"
V00099,Sedan,11,114223,105,2967,27,6.8,12.8,36,98,Worn,High,6,No,30,"10,001–25,000"
V00100,SUV,15,61005,97,2550,48,12.6,12.91,45,98,Moderate,Medium,10,Yes,80,"80,001+"
V00101,Truck,5,62691,85,2518,37,17.5,11.08,41,93,Critical,High,11,No,50,"25,001–50,000"
V00102,Truck,8,85427,110,2379,27,18.3,11.66,34,61,Good,Low,4,No,60,"50,001–80,000"
V00103,Sedan,6,87537,104,2929,32,7.8,11.41,37,67,Moderate,Low,8,No,80,"80,001+"
V00104,Sedan,6,198979,92,2187,39,5.5,12.97,35,103,Critical,High,1,Yes,60,"50,001–80,000"
V00105,Hatchback,14,124564,101,2094,49,11.9,11.28,43,108,Moderate,Low,9,No,60,"50,001–80,000"
V00106,SUV,13,94394,96,1901,45,6.7,11.26,44,60,Good,Low,1,No,90,"80,001+"
V00107,Hatchback,10,6847,90,2576,44,12.1,11.5,30,30,Worn,Low,8,No,100,"80,001+"
V00108,Hatchback,5,46027,101,2597,34,5.3,12.44,44,87,Moderate,Medium,6,Yes,80,"80,001+"
V00109,SUV,4,192156,89,2248,25,7.0,11.47,34,70,Moderate,Medium,3,No,80,"80,001+"
V00110,SUV,13,97540,110,2444,31,7.5,12.02,40,63,Good,Medium,8,No,70,"50,001–80,000"
V00111,Sedan,14,38243,91,2269,34,11.7,12.96,33,103,Worn,Medium,6,No,90,"80,001+"
V00112,Truck,13,48808,94,2133,46,6.3,11.45,39,93,Moderate,High,8,No,70,"50,001–80,000"
V00113,Hatchback,15,109041,87,2755,25,6.3,11.1,42,106,Worn,High,8,No,50,"25,001–50,000"
V00114,Sedan,14,77123,86,1531,49,8.9,11.53,31,47,Good,Low,10,Yes,80,"80,001+"
V00115,Hatchback,9,86580,88,1648,46,12.0,12.69,30,30,Worn,High,9,Yes,70,"50,001–80,000"
V00116,Sedan,3,135459,100,1658,33,12.7,12.44,36,36,Critical,High,10,Yes,50,"25,001–50,000"
V00117,Truck,9,155301,106,1577,24,14.0,11.13,36,107,Moderate,High,3,No,40,"25,001–50,000"
V00118,SUV,10,88279,101,1854,45,10.8,11.57,38,73,Good,Medium,4,No,80,"80,001+"
V00119,Truck,5,172298,100,1725,38,18.5,12.86,31,78,Critical,High,9,No,50,"25,001–50,000"
V00120,Truck,2,119759,102,2139,40,14.9,12.96,36,96,Critical,Medium,6,No,60,"50,001–80,000"
V00121,Sedan,1,108931,103,1631,30,10.7,12.12,31,51,Worn,Low,1,No,80,"80,001+"
V00122,Truck,1,12593,85,2289,40,20.0,11.55,44,48,Critical,High,7,Yes,60,"50,001–80,000"
V00123,Hatchback,2,187753,102,1891,31,11.6,11.24,41,66,Worn,Medium,9,Yes,70,"50,001–80,000"
V00124,Truck,2,27308,88,2752,49,18.1,12.91,40,98,Moderate,Low,7,No,100,"80,001+"
V00125,SUV,14,68919,86,1778,20,16.5,11.01,37,81,Critical,High,12,No,20,"10,001–25,000"
V00126,Truck,1,15523,88,2186,37,12.2,11.07,40,46,Moderate,Medium,5,No,100,"80,001+"
V00127,Truck,12,143996,104,2987,21,14.5,11.03,40,106,Good,High,3,No,30,"10,001–25,000"
V00128,SUV,2,87596,91,2340,44,14.3,11.33,34,64,Good,High,10,No,70,"50,001–80,000"
V00129,Hatchback,3,79312,96,2644,32,10.0,11.88,40,99,Worn,Low,3,Yes,100,"80,001+"
V00130,Truck,14,110679,102,2052,50,15.5,12.16,39,34,Good,Low,10,Yes,60,"50,001–80,000"
V00131,SUV,1,24394,85,1697,48,5.8,11.8,38,32,Good,Medium,6,Yes,100,"80,001+"
V00132,SUV,15,199841,86,1945,32,18.9,11.17,41,110,Moderate,High,12,No,60,"50,001–80,000"
V00133,SUV,13,29606,85,2929,27,10.0,11.0,35,50,Critical,High,8,No,30,"10,001–25,000"
V00134,Sedan,6,54592,104,2062,34,9.9,12.91,31,110,Moderate,Medium,10,Yes,70,"50,001–80,000"
V00135,Sedan,8,93137,104,1689,23,16.0,11.28,30,107,Moderate,Medium,9,No,50,"25,001–50,000"
V00136,Sedan,1,14785,99,2584,50,14.0,11.45,44,84,Worn,High,6,Yes,80,"80,001+"
V00137,SUV,9,73868,104,2551,28,6.5,11.49,32,109,Good,Low,8,No,60,"50,001–80,000"
V00138,Truck,4,55784,109,1889,26,7.1,12.65,34,79,Moderate,Low,4,Yes,60,"50,001–80,000"
V00139,SUV,6,161115,106,2672,32,14.3,11.39,41,69,Good,High,5,Yes,60,"50,001–80,000"
V00140,SUV,9,14191,93,2291,32,6.2,11.38,43,56,Worn,High,2,No,80,"80,001+"
V00141,Sedan,9,113648,110,2347,32,17.1,11.9,39,45,Good,High,6,No,60,"50,001–80,000"
V00142,Truck,1,9378,97,2872,30,15.9,11.5,37,106,Worn,Low,9,No,90,"80,001+"
V00143,SUV,5,48531,93,1502,39,18.7,11.4,32,55,Worn,Low,6,No,100,"80,001+"
V00144,SUV,7,196489,91,2319,46,11.9,12.46,39,52,Critical,High,12,No,50,"25,001–50,000"
V00145,Truck,11,6611,100,1506,25,7.6,12.68,40,103,Worn,Medium,6,Yes,70,"50,001–80,000"
V00146,SUV,2,6721,93,2088,50,17.9,12.01,44,45,Worn,High,5,Yes,80,"80,001+"
V00147,Hatchback,4,123091,92,2085,22,16.8,11.47,41,109,Good,Medium,7,Yes,80,"80,001+"
V00148,SUV,10,128525,103,2773,33,8.6,12.63,42,43,Moderate,Low,4,Yes,80,"80,001+"
V00149,Truck,13,195450,109,1842,28,18.9,12.81,40,59,Moderate,Low,3,No,50,"25,001–50,000"
V00150,SUV,9,44112,88,2229,34,15.4,12.3,31,95,Moderate,High,3,No,80,"80,001+"
V00151,SUV,4,128322,108,1645,45,14.8,12.59,31,54,Moderate,High,7,No,60,"50,001–80,000"
V00152,SUV,9,11718,104,2352,35,7.8,12.8,39,74,Good,Medium,1,No,80,"80,001+"
V00153,SUV,6,30128,106,2421,31,15.2,12.97,36,33,Worn,High,5,Yes,60,"50,001–80,000"
V00154,Hatchback,7,78017,86,2016,27,14.7,11.61,37,56,Critical,Low,10,Yes,50,"25,001–50,000"
V00155,Hatchback,13,133301,91,2167,32,6.9,11.65,30,34,Critical,High,3,No,50,"25,001–50,000"
V00156,Hatchback,2,63519,105,1726,24,15.6,11.44,43,109,Good,Medium,4,Yes,60,"50,001–80,000"
V00157,SUV,9,30003,86,2119,49,13.9,11.24,30,48,Worn,Low,5,Yes,100,"80,001+"
V00158,SUV,8,73436,88,2461,38,6.4,11.69,30,83,Critical,High,5,No,60,"50,001–80,000"
V00159,Hatchback,7,81460,105,1743,25,12.5,11.6,45,41,Moderate,High,11,No,30,"10,001–25,000"
V00160,Truck,13,156951,91,2385,36,10.1,11.42,37,82,Critical,Low,11,Yes,60,"50,001–80,000"
V00161,Sedan,5,111500,91,2766,38,5.4,11.13,30,89,Moderate,High,1,Yes,80,"80,001+"
V00162,SUV,11,68379,98,2300,36,5.5,12.97,39,74,Worn,Medium,2,Yes,90,"80,001+"
V00163,SUV,4,85788,105,2445,33,11.3,11.6,34,79,Critical,High,1,Yes,40,"25,001–50,000"
V00164,Hatchback,11,126275,98,2100,43,17.1,11.17,44,61,Critical,Medium,3,No,70,"50,001–80,000"
V00165,Sedan,3,153972,101,2318,32,18.2,11.83,30,32,Critical,High,6,Yes,40,"25,001–50,000"
V00166,Hatchback,1,163671,93,1964,35,5.5,11.6,36,80,Critical,Low,2,Yes,80,"80,001+"
V00167,Hatchback,11,64079,106,1592,47,12.2,12.4,33,66,Critical,Low,12,Yes,40,"25,001–50,000"
V00168,Sedan,7,98438,101,2462,46,10.8,11.37,37,60,Good,Low,8,No,80,"80,001+"
V00169,SUV,2,129253,98,2319,33,17.9,12.08,43,47,Critical,High,2,Yes,60,"50,001–80,000"
V00170,SUV,6,45358,94,2974,37,6.7,12.16,45,80,Good,High,8,No,80,"80,001+"
V00171,SUV,6,105093,94,2243,38,17.4,12.43,40,65,Worn,Medium,2,No,100,"80,001+"
V00172,SUV,12,39733,97,2335,25,6.2,12.41,34,40,Critical,Low,9,No,40,"25,001–50,000"
V00173,Truck,2,110432,108,2960,46,14.3,11.21,38,60,Worn,Medium,10,Yes,70,"50,001–80,000"
V00174,Sedan,12,133401,107,2214,42,13.0,12.98,36,83,Moderate,Low,12,Yes,60,"50,001–80,000"
V00175,Truck,2,142405,92,2603,24,9.8,12.44,31,49,Critical,Low,2,Yes,60,"50,001–80,000"
V00176,Hatchback,10,75277,102,2883,27,8.9,11.43,32,89,Worn,High,5,Yes,40,"25,001–50,000"
V00177,Hatchback,6,176567,87,2675,43,16.1,12.85,41,91,Worn,Medium,10,Yes,90,"80,001+"
V00178,SUV,12,94475,94,2888,31,15.5,12.97,43,103,Moderate,Low,5,No,90,"80,001+"
V00179,Truck,5,37622,92,2305,45,16.7,11.14,30,90,Worn,Low,2,Yes,100,"80,001+"
V00180,Sedan,13,146753,91,1562,26,12.1,11.21,40,47,Worn,High,10,Yes,40,"25,001–50,000"
V00181,Hatchback,7,72210,85,1856,48,5.8,12.96,38,47,Moderate,Medium,5,No,100,"80,001+"
V00182,Truck,9,64192,107,2517,25,15.5,12.47,33,84,Worn,Medium,7,No,60,"50,001–80,000"
V00183,Truck,3,28295,90,1639,20,13.1,11.17,43,105,Critical,Medium,3,No,60,"50,001–80,000"
V00184,SUV,4,88271,94,1659,28,10.3,12.17,30,78,Good,Low,7,No,80,"80,001+"
V00185,Hatchback,5,107162,100,2955,48,9.7,11.08,34,53,Moderate,Medium,10,Yes,90,"80,001+"
V00186,Hatchback,6,168212,105,1659,42,19.2,12.19,42,97,Critical,High,3,No,40,"25,001–50,000"
V00187,Truck,5,18142,86,2825,28,9.6,12.18,33,50,Good,Medium,3,Yes,80,"80,001+"
V00188,Truck,5,55300,96,2108,21,5.2,11.58,31,69,Critical,Medium,3,Yes,60,"50,001–80,000"
V00189,Sedan,3,8580,107,2370,21,14.3,11.42,37,82,Worn,Low,5,No,60,"50,001–80,000"
V00190,Truck,14,22546,100,1707,22,5.2,11.99,41,63,Critical,Medium,5,Yes,50,"25,001–50,000"
V00191,Truck,10,33885,88,2314,22,19.1,11.7,40,72,Critical,Low,2,Yes,60,"50,001–80,000"
V00192,Truck,3,147529,108,1897,30,10.1,11.64,37,43,Critical,Medium,4,Yes,60,"50,001–80,000"
V00193,SUV,13,66288,106,2505,35,8.8,12.84,31,73,Critical,Medium,7,No,50,"25,001–50,000"
V00194,SUV,1,156960,106,2412,27,14.0,12.2,32,80,Worn,Low,3,Yes,60,"50,001–80,000"
V00195,Hatchback,3,192953,103,2873,22,11.7,11.27,32,108,Good,High,4,No,40,"25,001–50,000"
V00196,Sedan,15,47934,88,2367,33,13.1,12.3,30,67,Good,Medium,3,Yes,90,"80,001+"
V00197,SUV,13,35743,103,2734,50,13.4,12.85,43,36,Critical,High,2,Yes,30,"10,001–25,000"
V00198,Hatchback,9,155194,89,2894,47,10.5,11.06,31,98,Critical,Low,5,No,80,"80,001+"
V00199,Hatchback,14,103930,102,1552,22,13.6,11.9,34,44,Worn,Low,4,Yes,50,"25,001–50,000"
V00200,Sedan,5,149940,95,2411,34,18.1,12.37,35,70,Good,Low,9,Yes,90,"80,001+"
V00201,SUV,7,101298,103,1676,32,8.3,11.44,33,56,Worn,Medium,10,No,70,"50,001–80,000"
V00202,Truck,4,26863,95,2399,44,19.4,11.79,36,64,Good,Medium,6,No,100,"80,001+"
V00203,Hatchback,15,158682,87,1582,27,13.4,12.47,44,31,Critical,Low,11,Yes,40,"25,001–50,000"
V00204,SUV,1,183875,85,1944,36,13.6,12.42,36,34,Worn,Low,10,Yes,90,"80,001+"
V00205,SUV,1,159718,108,2894,20,7.7,11.23,33,67,Good,Low,3,Yes,60,"50,001–80,000"
V00206,Sedan,12,131196,94,1666,21,10.0,12.67,32,57,Critical,Low,3,No,50,"25,001–50,000"
V00207,Sedan,3,39931,101,2522,47,19.1,11.63,33,104,Moderate,Low,7,Yes,80,"80,001+"
V00208,Hatchback,14,164221,102,1572,37,10.9,12.66,39,68,Worn,Low,7,Yes,70,"50,001–80,000"
V00209,SUV,14,40126,108,1615,22,17.8,11.46,33,62,Good,Low,1,No,50,"25,001–50,000"
V00210,Truck,3,11046,99,1751,29,5.0,11.37,37,100,Moderate,Medium,11,No,70,"50,001–80,000"
V00211,Truck,10,45035,100,2938,33,8.3,11.15,37,71,Good,Low,12,Yes,90,"80,001+"
V00212,SUV,1,195820,109,1696,35,6.4,12.54,42,42,Good,High,5,No,60,"50,001–80,000"
V00213,Hatchback,7,114125,99,2265,22,11.2,11.72,36,88,Critical,High,12,No,30,"10,001–25,000"
V00214,SUV,6,52309,89,2391,26,11.5,12.76,32,47,Worn,High,7,Yes,60,"50,001–80,000"
V00215,Sedan,6,9773,95,1819,45,11.9,11.97,45,67,Worn,High,9,Yes,70,"50,001–80,000"
V00216,Truck,3,143638,85,2849,44,7.5,12.52,35,47,Good,High,4,No,80,"80,001+"
V00217,Hatchback,10,135614,87,2731,46,13.3,12.49,45,88,Worn,High,11,No,70,"50,001–80,000"
V00218,Sedan,7,156008,105,2365,49,15.2,12.39,38,46,Critical,High,6,Yes,40,"25,001–50,000"
V00219,Sedan,12,63674,88,2707,49,9.8,11.93,37,65,Critical,Low,5,No,70,"50,001–80,000"
V00220,Sedan,7,105794,99,2575,34,14.4,12.52,33,79,Critical,High,4,No,60,"50,001–80,000"
V00221,SUV,10,138518,97,2867,50,11.9,11.83,36,73,Moderate,Low,9,Yes,90,"80,001+"
V00222,SUV,8,199048,89,2932,40,15.8,12.83,43,55,Good,High,3,Yes,80,"80,001+"
V00223,SUV,14,62700,100,2045,46,18.1,12.27,37,72,Good,Low,11,No,80,"80,001+"
V00224,Truck,4,63605,101,1728,49,14.7,11.42,40,105,Worn,Medium,11,Yes,70,"50,001–80,000"
V00225,SUV,9,120971,104,1711,35,16.7,12.26,39,48,Moderate,High,2,No,60,"50,001–80,000"
V00226,SUV,9,27070,96,2507,41,14.7,11.35,34,69,Moderate,Medium,10,No,90,"80,001+"
V00227,Truck,2,93033,86,2355,21,7.2,12.84,40,40,Critical,Medium,7,Yes,60,"50,001–80,000"
V00228,SUV,14,46726,90,2063,39,5.3,12.85,30,39,Moderate,Medium,2,No,90,"80,001+"
V00229,SUV,5,172797,86,2783,50,8.5,12.19,42,97,Moderate,Low,5,Yes,100,"80,001+"
V00230,SUV,10,119905,108,2392,34,13.0,11.33,43,47,Good,High,3,No,60,"50,001–80,000"
V00231,Hatchback,1,78443,91,2715,45,15.1,12.25,35,86,Worn,Low,2,No,100,"80,001+"
V00232,Sedan,15,64633,88,2820,24,18.6,12.68,35,66,Worn,High,5,No,50,"25,001–50,000"
V00233,Hatchback,10,7327,107,1526,30,8.3,12.87,43,63,Critical,Medium,5,No,60,"50,001–80,000"
V00234,Hatchback,11,169431,99,2062,39,8.6,12.79,34,70,Good,High,8,Yes,70,"50,001–80,000"
V00235,SUV,5,63754,109,1856,28,15.1,12.86,38,44,Moderate,Medium,6,Yes,60,"50,001–80,000"
V00236,Hatchback,1,57350,91,2869,34,8.6,11.24,43,49,Worn,Low,6,Yes,100,"80,001+"
V00237,SUV,4,186249,101,2559,27,8.3,12.89,35,55,Critical,Low,10,Yes,30,"10,001–25,000"
V00238,Truck,13,28890,92,2664,43,8.0,12.98,33,52,Critical,High,2,Yes,50,"25,001–50,000"
V00239,Sedan,1,122783,105,1907,46,18.9,12.13,31,64,Moderate,Low,11,No,70,"50,001–80,000"
V00240,Truck,8,192932,102,2477,32,12.2,11.56,44,48,Worn,High,5,No,60,"50,001–80,000"
V00241,Sedan,10,100835,89,2607,22,13.0,11.17,30,71,Moderate,High,9,No,50,"25,001–50,000"
V00242,SUV,13,55733,90,2889,28,18.2,11.98,37,32,Moderate,High,3,No,50,"25,001–50,000"
V00243,Sedan,14,172816,85,1992,21,5.3,12.55,38,94,Worn,Low,7,No,70,"50,001–80,000"
V00244,Truck,3,148361,106,1970,50,7.1,11.97,45,73,Critical,High,5,No,40,"25,001–50,000"
V00245,Sedan,13,162784,106,1936,43,17.5,11.62,44,79,Critical,High,8,Yes,30,"10,001–25,000"
V00246,SUV,3,55595,101,2713,23,15.1,11.2,43,55,Worn,High,11,No,30,"10,001–25,000"
V00247,Hatchback,2,91166,107,2970,24,17.2,12.83,35,85,Critical,High,7,Yes,20,"10,001–25,000"
