Vehicle_Type,Vehicle_Age,Mileage,Engine_Temp,RPM,Oil_Pressure,Fuel_Consumption,Battery_Voltage,Brake_Pressure,Tire_Pressure,Tire_Condition,Vibration_Level,Last_Service_Months,Accident_History,KM_Range_Before_Defect,Remaining_KM
SUV,7,40518,101,2044,37,6.8,12.74,40,30,Worn,High,5,Yes,25000-50000,40137.96286836601
Hatchback,12,248843,88,2693,34,17.2,12.09,38,34,Good,Low,5,No,80000+,84154.75019187137
Sedan,1,167939,96,3359,28,14.0,12.68,43,28,Critical,High,12,No,0-3000,1163.3705393952616
SUV,2,50991,91,2239,35,10.9,11.96,41,35,Good,Medium,4,No,80000+,85241.25797764632
SUV,8,78433,106,2691,38,9.0,12.56,39,33,Moderate,Low,10,No,50000-80000,57063.61363934993
Sedan,8,101831,99,2275,29,17.9,12.49,39,31,Moderate,Medium,6,No,25000-50000,36727.07791502798
Truck,2,24484,109,2197,17,8.4,11.96,31,31,Good,Low,2,No,10000-25000,15873.842584164982
Hatchback,9,169511,96,3207,39,15.5,11.97,26,35,Critical,Medium,1,No,25000-50000,28482.395308842464
Truck,5,22352,109,1836,20,9.8,12.5,33,35,Good,Low,2,No,10000-25000,23807.972916018753
Truck,5,13391,108,3041,32,4.8,12.55,25,30,Moderate,Low,3,Yes,10000-25000,23268.74034172423
Sedan,2,183764,96,2934,41,15.2,11.94,37,32,Good,High,9,No,25000-50000,45162.291291911475
SUV,1,7716,104,2206,36,14.0,12.49,41,34,Worn,Low,1,No,80000+,99926.83792357563
Hatchback,11,74534,92,835,39,21.6,12.18,39,30,Critical,Medium,12,No,10000-25000,15813.533504034554
Truck,2,116270,101,1936,32,6.8,12.74,26,28,Worn,Low,2,No,50000-80000,67223.40677684065
SUV,7,192390,102,2540,25,10.5,12.68,31,28,Worn,High,6,No,25000-50000,27878.974015529988
Sedan,11,222347,102,1580,30,15.6,12.49,34,32,Critical,Low,8,No,25000-50000,38177.0309910742
SUV,7,62201,106,1491,30,12.4,12.5,40,31,Moderate,Low,3,No,25000-50000,38772.97493230939
Sedan,10,87954,100,2600,43,18.3,12.46,40,30,Good,Medium,11,No,25000-50000,37216.7605746356
Truck,6,225691,114,2476,20,4.9,12.0,38,29,Worn,Low,3,No,3000-10000,6040.328245119023
SUV,8,191269,95,631,29,12.0,12.73,36,31,Good,Medium,5,No,50000-80000,73618.93900170665
Sedan,12,31191,88,712,44,14.7,12.79,44,30,Critical,Medium,12,No,10000-25000,22807.816258458006
SUV,8,128656,103,641,32,7.7,12.13,36,33,Moderate,Medium,1,No,50000-80000,57098.03720579496
SUV,1,126181,99,2557,33,11.4,12.67,26,33,Moderate,Medium,10,No,50000-80000,52083.63045750877
Hatchback,2,61744,84,1579,33,12.8,12.07,43,29,Good,Low,11,No,50000-80000,51811.26358092984
Truck,1,76196,110,1136,28,8.2,12.72,37,30,Good,Low,12,No,10000-25000,13128.272461738217
Sedan,10,25289,92,1998,37,16.3,11.92,37,28,Good,Low,9,No,80000+,98953.12854402594
SUV,11,14134,92,1117,27,8.4,12.44,42,33,Worn,Medium,11,No,25000-50000,42918.64956781089
Sedan,9,106280,97,1780,39,18.3,12.22,27,29,Good,High,6,No,25000-50000,35682.29835508573
SUV,11,64677,101,2329,35,10.0,12.11,30,33,Worn,Low,2,No,80000+,96842.80668108373
Hatchback,11,228871,85,2244,37,20.0,12.79,28,36,Good,Low,3,No,80000+,91993.44530985125
Truck,11,62192,105,629,34,7.7,11.99,27,30,Moderate,Low,1,No,50000-80000,50163.79119266099
Hatchback,2,205998,88,3299,32,16.6,12.33,34,34,Critical,Medium,2,No,25000-50000,34615.396659957514
Truck,4,91400,101,3033,35,7.7,11.89,43,28,Critical,High,11,No,0-3000,2673.5394202575703
Sedan,11,166051,98,3279,37,12.0,12.51,30,31,Worn,Low,6,Yes,50000-80000,59605.244181547605
Hatchback,2,109701,91,1274,29,21.7,12.51,34,36,Moderate,High,11,No,10000-25000,11554.810178222442
Truck,11,128771,114,833,23,3.3,12.62,34,33,Good,Low,1,Yes,25000-50000,30132.739953353706
Hatchback,8,49852,90,3361,36,18.3,11.81,31,28,Critical,High,5,No,10000-25000,10141.690733973139
Truck,4,243863,100,2031,33,7.0,12.71,38,28,Critical,Low,4,No,10000-25000,10404.861816237986
SUV,3,82700,99,2719,29,9.1,12.79,32,34,Good,Medium,2,No,80000+,99572.4914802645
Hatchback,5,173657,89,2669,42,19.9,12.2,39,28,Critical,Low,12,No,25000-50000,49327.89379944795
SUV,5,114773,92,763,35,11.4,12.71,38,31,Good,Medium,9,No,80000+,92055.184403219
Hatchback,2,54189,97,861,33,17.4,12.6,28,36,Moderate,Low,8,No,50000-80000,73126.83523072148
Hatchback,7,168562,94,3488,30,17.9,12.47,25,33,Good,Low,11,No,50000-80000,72727.65963756893
Hatchback,1,146916,89,1979,44,17.2,12.19,32,30,Good,Low,5,No,80000+,93394.61530479259
Hatchback,3,169880,94,2926,36,16.8,12.66,33,33,Good,Low,2,No,80000+,93130.49264485792
Truck,9,156035,116,2139,31,4.9,12.48,36,29,Critical,Medium,10,No,3000-10000,6758.228118887778
Sedan,7,124929,98,2504,34,14.3,12.4,44,28,Good,Medium,5,No,50000-80000,74031.13901675744
Hatchback,7,60689,96,758,31,19.1,12.74,36,36,Good,Low,7,Yes,50000-80000,53948.07869895328
Sedan,3,5473,94,651,28,15.7,12.63,26,35,Moderate,High,12,No,10000-25000,24988.371531615077
Hatchback,10,128639,85,1512,38,16.4,12.6,30,33,Worn,Low,6,Yes,50000-80000,67934.25393286823
Truck,12,156247,102,2277,26,5.9,11.82,33,30,Worn,Medium,11,No,10000-25000,15274.807975586877
Truck,7,184367,107,624,29,5.7,12.33,44,34,Good,Low,9,Yes,10000-25000,18545.398925522662
SUV,12,111251,95,3271,40,11.2,12.2,42,35,Worn,Low,12,No,50000-80000,56762.80078180098
Hatchback,6,160946,95,2978,35,22.3,12.43,25,33,Good,Low,11,Yes,25000-50000,27372.652449563244
Hatchback,6,6347,95,2020,40,17.9,12.22,31,32,Moderate,Medium,11,Yes,10000-25000,22568.84921166904
Truck,4,19955,108,2670,21,4.2,12.71,30,31,Good,Low,3,No,10000-25000,12773.354765432892
SUV,6,161568,100,1281,29,7.6,12.48,43,30,Moderate,Low,7,No,50000-80000,74409.90738059796
Hatchback,8,142813,93,1515,28,17.6,12.27,33,30,Critical,Medium,4,No,25000-50000,30599.749819439014
Hatchback,9,147295,95,1768,34,14.6,12.28,36,33,Worn,Low,1,No,50000-80000,73719.66790244823
Truck,10,213978,112,2653,20,8.3,12.57,27,35,Good,Low,8,No,10000-25000,15436.953544395361
SUV,10,101911,89,2603,25,15.1,12.5,25,28,Good,Low,3,No,80000+,97517.83543879405
Hatchback,1,112239,95,1141,41,22.6,12.1,42,32,Worn,Low,3,No,50000-80000,54600.19197396698
Truck,10,203619,106,2115,28,9.0,11.81,35,35,Good,High,10,No,3000-10000,7355.199460595383
Truck,6,80452,107,1624,28,7.2,12.68,41,34,Good,Medium,7,No,10000-25000,10225.411753932289
Truck,7,206448,108,3146,31,9.6,11.88,43,30,Moderate,Low,2,No,25000-50000,32168.877851346573
Sedan,2,247116,86,1433,41,19.2,12.28,32,31,Worn,High,7,No,25000-50000,47248.27915519511
Sedan,4,241148,90,2226,34,14.7,11.88,40,33,Worn,High,6,No,25000-50000,33315.54286329371
SUV,3,141575,99,1001,37,13.9,12.18,39,33,Good,Medium,5,No,80000+,86348.17959361516
Truck,11,115809,108,1939,24,7.3,12.15,27,34,Worn,Low,6,No,10000-25000,23744.764758190126
Sedan,11,140551,97,1858,34,14.6,12.41,37,30,Moderate,Medium,2,Yes,25000-50000,28970.412806042303
SUV,11,150421,90,1000,25,10.7,12.47,37,33,Moderate,Low,12,No,50000-80000,66653.83395936295
Truck,1,202105,99,1187,32,9.4,11.83,38,30,Critical,Low,5,No,10000-25000,16815.38346300394
Hatchback,1,53287,91,2437,42,15.7,12.59,45,29,Critical,Medium,10,No,25000-50000,43947.913449154024
Sedan,3,61250,92,602,32,13.0,12.29,35,32,Good,Low,2,No,80000+,86393.78541000932
Hatchback,6,15125,95,3473,44,15.5,11.87,37,30,Worn,Low,8,No,50000-80000,50856.44619286268
Truck,9,145246,111,1542,25,7.1,11.85,36,35,Moderate,High,3,No,3000-10000,3548.4300092941107
Sedan,2,108239,90,2803,43,15.0,11.98,27,34,Critical,Low,10,No,50000-80000,57627.009219816435
Truck,1,225247,103,2861,30,5.8,12.6,44,36,Good,Medium,9,No,25000-50000,28809.65210618294
Sedan,2,127850,101,2002,42,15.4,12.34,38,31,Critical,Low,2,Yes,25000-50000,35856.365323157916
Truck,5,83997,113,955,19,8.8,12.17,45,28,Moderate,Medium,12,No,0-3000,2370.147567985809
SUV,6,39755,102,2866,33,9.6,12.8,27,35,Good,Low,9,No,80000+,99886.82180070733
Truck,1,7795,115,1827,35,7.4,12.24,37,34,Critical,Low,11,No,0-3000,2952.2621118275106
Sedan,10,236864,98,1020,32,14.9,12.12,32,28,Good,Medium,8,No,50000-80000,57540.76286183268
Truck,10,36884,104,795,21,6.9,12.43,33,31,Good,Low,5,No,25000-50000,30785.36643644965
Truck,2,26541,106,3237,20,9.0,11.8,27,28,Good,Low,12,Yes,0-3000,2143.4763479555804
Hatchback,7,133138,90,3063,45,15.6,12.23,43,36,Moderate,Medium,7,Yes,50000-80000,52681.77216072721
SUV,9,50922,104,2234,38,13.6,11.92,41,29,Moderate,Low,4,No,80000+,99314.11695361191
Truck,2,184348,98,2681,23,6.9,12.68,39,34,Good,Low,3,No,50000-80000,75649.00061559134
Hatchback,1,137665,85,1874,36,13.8,12.28,45,28,Good,Low,7,No,80000+,84000.66199578658
Truck,8,232801,98,2620,23,6.9,12.41,31,30,Good,Medium,1,No,50000-80000,55699.41809016219
Truck,10,160873,107,1406,15,6.4,12.55,34,34,Worn,Low,8,No,3000-10000,5487.081446239932
Truck,8,73671,108,2667,28,5.0,11.95,39,35,Moderate,Low,12,Yes,3000-10000,8987.534111926576
Hatchback,3,46854,94,2711,40,19.0,11.94,45,36,Good,Low,5,No,80000+,86803.9994837525
Hatchback,2,135770,92,1831,39,17.7,12.68,27,33,Good,Medium,7,No,80000+,94113.32572199129
Sedan,11,40641,85,2483,33,14.3,11.72,29,33,Good,Medium,8,No,50000-80000,68027.4936053181
SUV,3,77717,98,1399,33,11.6,12.62,40,30,Critical,Low,11,No,10000-25000,19441.74905243668
Hatchback,3,189777,95,2532,40,21.1,12.64,33,34,Good,High,1,No,50000-80000,68992.62752848957
SUV,9,61106,91,3013,33,7.6,11.78,37,31,Good,Medium,3,No,80000+,99001.44254520096
Sedan,5,5756,98,2991,26,14.1,12.57,35,36,Good,Low,11,No,25000-50000,27672.093502043866
SUV,2,69787,104,2878,33,11.8,12.17,31,28,Good,Low,10,Yes,50000-80000,61635.52872659504
Hatchback,5,168860,90,1482,38,17.9,12.06,39,36,Moderate,Low,10,No,80000+,85646.65922250353
Truck,4,118276,101,2377,35,5.0,12.48,36,36,Good,Medium,2,Yes,25000-50000,33732.52051845681
Sedan,4,238656,98,3188,38,12.6,12.27,37,29,Critical,Medium,5,No,25000-50000,43518.61597501469
Sedan,10,202811,102,1938,35,14.9,12.08,31,32,Moderate,Low,9,Yes,25000-50000,38267.5775355107
Sedan,4,35269,99,1537,35,13.3,11.8,26,34,Good,Low,1,Yes,50000-80000,75774.14476216104
Hatchback,3,241679,100,1972,30,17.9,11.99,34,35,Good,Low,2,No,80000+,85039.74001534183
Hatchback,4,32884,87,3001,42,22.1,12.42,37,33,Moderate,Medium,3,No,50000-80000,69214.2508696332
SUV,12,185751,99,2065,36,12.9,11.73,45,35,Moderate,High,9,No,25000-50000,35851.44917621267
Sedan,8,23636,88,1918,32,16.5,12.0,44,30,Good,Medium,6,No,50000-80000,71514.70515240723
Truck,6,171622,107,1395,21,5.9,12.27,27,30,Moderate,Low,7,No,3000-10000,5297.741035983295
Truck,12,222027,100,2145,32,4.1,12.41,28,30,Critical,Low,12,No,3000-10000,4091.3435193731752
Sedan,2,137871,88,2566,36,15.2,12.56,33,35,Worn,Medium,4,No,50000-80000,52679.97958158569
Sedan,3,84972,96,2340,35,13.6,11.71,40,28,Good,Medium,5,Yes,25000-50000,32585.411819451103
Hatchback,11,175154,86,2457,30,21.4,12.33,28,32,Moderate,Low,1,No,80000+,84915.12699682185
Truck,9,216925,97,2918,34,8.9,11.75,37,34,Good,Medium,8,No,25000-50000,42015.78619092544
SUV,9,93920,96,2663,26,13.2,12.01,45,34,Good,Low,10,No,80000+,86618.7540542755
Hatchback,1,190782,83,2528,32,17.6,12.62,27,29,Moderate,High,8,No,25000-50000,27287.942692825578
Hatchback,1,53207,94,1553,41,20.0,12.34,34,36,Good,High,9,No,50000-80000,63541.6642915461
Sedan,5,139354,95,2060,35,16.3,12.47,27,31,Critical,High,2,No,10000-25000,22301.152476410218
Hatchback,4,130494,84,3274,45,15.7,11.97,42,34,Worn,Medium,10,No,50000-80000,53718.51296029415
Truck,10,35226,97,3155,35,10.9,12.76,38,31,Good,Medium,2,No,50000-80000,55132.66347045887
SUV,10,214390,99,800,35,11.9,12.65,41,31,Moderate,Medium,9,No,50000-80000,63243.33854437333
Hatchback,10,183781,93,980,34,19.3,11.78,36,30,Good,Low,6,No,80000+,94304.56261358903
SUV,4,41783,102,957,33,10.7,12.52,44,34,Moderate,Medium,5,No,50000-80000,61541.69750008349
SUV,1,100444,91,1623,29,11.2,12.49,42,33,Worn,Low,7,Yes,50000-80000,50138.85207625141
SUV,5,128919,99,948,31,10.5,12.35,36,34,Critical,Low,6,No,25000-50000,32618.934835542696
Hatchback,5,219818,88,3442,43,17.5,12.19,40,36,Worn,High,9,No,25000-50000,40787.19314478136
Sedan,6,122122,86,2326,37,14.2,11.85,42,34,Good,Low,11,No,50000-80000,62209.70053954933
SUV,10,49940,106,1900,27,12.4,12.02,31,30,Good,Medium,4,No,25000-50000,49341.12240167666
SUV,4,207291,99,2372,35,12.5,11.9,39,36,Worn,Low,7,No,50000-80000,52716.786727840634
