Vehicle_Type,Vehicle_Age,Mileage,Engine_Temp,RPM,Oil_Pressure,Fuel_Consumption,Battery_Voltage,Brake_Pressure,Tire_Pressure,Tire_Condition,Vibration_Level,Last_Service_Months,Accident_History,KM_Range_Before_Defect
Hatchback,2,114186,97,2969,43,16.1,11.48,44,93,Worn,Low,9,No,63063–76193
Sedan,5,171566,91,1748,42,11.1,11.02,42,77,Good,High,5,No,40447–53425
Hatchback,10,24182,92,2800,37,8.7,12.19,38,68,Critical,Low,6,Yes,57258–60784
Sedan,15,195044,92,2604,48,5.4,12.39,36,82,Critical,High,8,Yes,28949–39475
Hatchback,10,142099,110,2033,24,8.4,11.47,44,70,Worn,Medium,2,Yes,50887–53087
Hatchback,4,148839,85,2162,39,15.2,12.18,43,57,Moderate,Low,7,No,65408–72154
Sedan,7,76391,106,2114,24,6.0,12.32,35,54,Good,Medium,7,Yes,42594–59922
Truck,3,180207,85,2597,24,18.7,11.85,40,61,Worn,Medium,11,Yes,51090–70798
SUV,8,20261,98,1889,36,14.7,11.18,40,44,Critical,High,6,Yes,50151–54603
Sedan,15,97553,107,2379,37,10.6,11.87,36,74,Good,Medium,3,Yes,35821–47005
Truck,1,90957,86,2008,27,11.0,11.42,43,105,Worn,Low,11,No,60909–88327
Hatchback,9,71194,95,1609,27,16.7,12.57,34,57,Good,Medium,12,No,40733–46291
Sedan,14,163260,106,2544,31,12.6,12.23,34,52,Moderate,Low,12,No,47188–54948
Sedan,2,45382,106,2887,42,15.4,12.77,44,36,Moderate,High,7,Yes,39369–61497
Sedan,8,146523,101,2230,22,19.0,11.3,38,40,Good,High,1,No,47027–50861
Hatchback,9,67641,92,2479,25,17.5,11.92,35,86,Critical,High,3,No,43075–47063
Truck,3,48177,101,2749,43,19.9,12.79,35,108,Critical,High,9,No,44552–68824
Sedan,9,56028,97,2231,37,17.7,11.61,39,109,Critical,Low,12,No,54919–58425
Truck,11,72218,109,1657,21,10.5,11.5,30,72,Worn,Low,12,Yes,55346–58356
Truck,3,14070,103,2465,27,9.8,12.39,35,31,Moderate,High,5,Yes,51086–66786
SUV,8,23367,91,2158,40,6.0,11.13,36,95,Worn,Low,8,Yes,55485–79737
Hatchback,12,147445,96,1683,22,16.5,12.96,40,60,Critical,Low,10,Yes,43592–58820
Truck,2,145429,98,2845,42,9.4,12.99,45,56,Good,Medium,11,No,47863–74015
Truck,10,194444,98,1955,29,20.0,12.09,37,42,Worn,High,7,Yes,30676–45254
Truck,2,58612,103,1640,22,7.6,11.85,43,86,Worn,Low,4,No,64081–81083
Hatchback,12,36328,88,1810,45,17.2,12.1,42,77,Worn,Low,2,Yes,57169–76763
Truck,4,147369,92,1812,27,12.0,12.81,44,37,Critical,High,10,No,38120–54402
Truck,15,116856,105,2162,25,15.6,12.69,30,94,Good,Low,6,No,47234–69252
Truck,1,168834,88,2607,29,9.7,11.63,38,53,Critical,Medium,3,Yes,52891–81127
SUV,5,91276,91,2393,21,11.0,12.4,30,32,Moderate,High,7,Yes,35069–60799
SUV,6,12955,108,1746,49,7.4,12.45,44,81,Worn,High,6,Yes,35974–62176
Sedan,12,13499,96,2433,32,18.9,11.39,36,107,Good,Medium,6,No,49444–54448
Truck,9,179950,101,2587,23,17.9,11.78,34,62,Moderate,Low,2,Yes,69344–74134
Sedan,5,154045,110,2983,25,16.3,11.2,33,42,Good,Medium,11,No,36808–57812
Hatchback,15,186142,99,1717,24,15.2,12.59,39,76,Good,High,12,No,25746–45872
Sedan,12,169243,100,2362,50,18.4,11.22,34,110,Critical,Medium,10,No,44739–56043
Sedan,9,151903,107,2049,21,10.3,11.52,34,88,Worn,High,11,Yes,27047–56757
Hatchback,8,157563,90,2129,36,7.7,11.75,33,60,Worn,High,9,No,32949–49597
Hatchback,6,79787,106,2886,49,8.4,11.81,34,71,Moderate,High,3,Yes,39902–55202
Truck,2,152316,101,2131,39,13.5,12.12,41,66,Moderate,Low,8,No,67642–78450
Hatchback,7,122667,94,2760,26,12.9,12.65,40,68,Worn,Low,4,Yes,49688–78372
Sedan,11,21974,100,1777,21,12.4,12.42,44,77,Moderate,High,2,No,31691–55597
Hatchback,1,131870,93,1818,40,11.6,11.29,35,110,Worn,Low,12,Yes,65557–83725
Sedan,9,45162,102,2570,22,10.3,11.91,42,99,Critical,High,12,No,39780–45826
SUV,8,138803,91,2049,22,5.3,12.36,40,52,Worn,Medium,8,No,45784–57352
Sedan,15,181608,90,2852,25,8.1,11.05,32,54,Worn,High,7,No,26998–49676
Sedan,2,146633,110,2117,37,16.7,12.45,32,59,Good,Medium,12,No,45146–73124
Sedan,1,120194,102,2785,38,5.4,12.37,43,53,Moderate,High,8,No,44335–73427
Truck,2,42467,88,2805,47,11.7,12.4,35,96,Moderate,Low,3,No,66087–84783
Sedan,5,115323,104,2168,50,13.9,11.06,37,109,Worn,High,6,No,43548–49990
Truck,13,135053,103,1782,34,12.2,12.25,33,110,Critical,Low,9,Yes,43845–60933
Hatchback,1,69174,95,2933,23,16.9,11.61,42,65,Critical,High,4,Yes,46117–70695
SUV,8,67836,87,2501,44,18.3,12.69,45,46,Critical,Medium,8,No,49224–56802
SUV,10,126524,109,1710,47,20.0,11.78,34,110,Critical,High,10,Yes,23022–52132
Hatchback,12,122925,99,2755,44,8.8,11.63,40,72,Good,High,8,No,36602–48318
Truck,3,108535,87,2863,38,10.0,12.18,43,65,Worn,Medium,3,Yes,63787–73981
SUV,6,73804,97,1991,50,7.8,11.5,42,96,Critical,High,1,No,56809–61537
Sedan,8,116792,91,2285,20,17.2,12.88,42,61,Good,Medium,9,No,43798–55692
SUV,12,75263,98,2142,44,17.8,11.92,30,70,Moderate,Low,12,Yes,51815–67895
SUV,15,43376,109,1849,45,9.6,12.62,32,67,Worn,Low,10,No,32982–55278
SUV,12,104971,95,2672,26,17.8,11.55,30,97,Moderate,Medium,1,No,43827–71613
Truck,6,40417,100,2985,20,8.2,11.58,40,92,Good,High,1,No,48695–53433
Hatchback,4,37905,103,2843,42,13.9,12.01,30,98,Critical,High,8,Yes,33143–55409
SUV,7,161630,88,1564,30,10.8,12.8,36,97,Critical,Low,12,Yes,50915–77981
