Vehicle_ID,Vehicle_Type,Vehicle_Age,Mileage,Engine_Temp,RPM,Oil_Pressure,Fuel_Consumption,Battery_Voltage,Brake_Pressure,Tire_Pressure,Tire_Condition,Vibration_Level,Last_Service_Months,Accident_History,KM_Range_Before_Defect
V115,SUV,10,102916,97,2687,23,12.0,11.65,35,55,Worn,High,12,No,"25,001–50,000"
V116,Truck,4,173580,88,2057,40,14.6,12.65,35,34,Good,Low,7,Yes,"80,001+"
V117,Hatchback,14,12651,89,2860,21,19.1,12.08,38,76,Moderate,Medium,7,No,"50,001–80,000"
V118,Truck,9,106505,91,2659,41,11.1,11.96,35,100,Critical,Low,11,No,"50,001–80,000"
V119,Hatchback,11,101663,93,1984,22,15.7,11.47,34,92,Moderate,High,6,Yes,"25,001–50,000"
V120,Sedan,4,165199,91,1899,24,19.8,12.5,38,33,Good,Medium,11,Yes,"50,001–80,000"
V121,SUV,3,147227,106,2063,22,19.9,11.02,40,96,Moderate,Low,11,Yes,"25,001–50,000"
V122,Hatchback,9,80833,108,2075,33,13.5,12.42,30,59,Good,Medium,9,No,"50,001–80,000"
V123,Sedan,12,79776,97,2351,42,15.1,11.9,36,70,Moderate,High,8,No,"50,001–80,000"
V124,SUV,2,137318,100,1831,34,11.3,11.45,30,51,Critical,Low,7,Yes,"80,001+"
V125,SUV,10,50573,93,1579,37,7.9,12.21,44,104,Critical,Low,4,No,"80,001+"
V126,SUV,9,86254,109,2102,41,5.1,11.33,38,94,Moderate,High,5,Yes,"50,001–80,000"
V127,Truck,1,101123,96,2921,46,16.1,11.78,35,105,Moderate,High,7,Yes,"80,001+"
V128,Hatchback,2,193363,94,1777,25,7.7,12.65,32,32,Worn,Medium,9,Yes,"50,001–80,000"
V129,SUV,14,193430,94,1772,40,18.1,12.09,32,104,Critical,High,6,No,"25,001–50,000"
V130,Truck,6,41984,102,2990,31,14.6,12.94,40,108,Good,High,1,No,"50,001–80,000"
V131,Truck,12,20026,109,2944,30,6.1,12.83,30,83,Moderate,High,3,No,"25,001–50,000"
V132,SUV,14,68394,93,2402,34,7.6,11.87,32,76,Critical,Low,10,No,"50,001–80,000"
V133,Sedan,9,113968,87,2487,45,11.0,12.09,43,75,Worn,Low,7,No,"80,001+"
V134,Truck,5,78723,101,2832,46,14.0,11.95,44,70,Worn,High,9,Yes,"25,001–50,000"
V135,Hatchback,13,119192,106,1773,31,12.5,11.57,36,46,Worn,Low,10,No,"50,001–80,000"
V136,Sedan,1,199645,94,1606,42,11.3,11.14,36,50,Worn,Low,9,Yes,"80,001+"
V137,Hatchback,14,54895,92,2107,50,14.8,12.56,40,83,Worn,High,7,No,"50,001–80,000"
V138,Hatchback,6,119934,90,2748,22,7.4,11.88,30,34,Critical,High,7,Yes,"25,001–50,000"
V139,Sedan,7,154024,89,2370,42,14.9,12.17,38,75,Moderate,Low,4,No,"80,001+"
V140,Truck,9,119177,102,2453,24,6.9,11.38,45,46,Worn,Low,9,Yes,"25,001–50,000"
V141,Sedan,8,104896,104,2042,24,14.7,12.51,42,98,Good,High,2,No,"25,001–50,000"
V142,Hatchback,11,24605,110,2417,32,8.9,11.82,31,52,Good,Medium,9,No,"50,001–80,000"
V143,Hatchback,3,66238,87,2145,45,18.8,12.09,39,68,Good,Low,12,Yes,"80,001+"
V144,SUV,4,73762,107,2682,43,10.5,12.2,32,49,Critical,Medium,4,Yes,"50,001–80,000"
V145,SUV,1,152590,110,1938,34,8.1,12.37,42,88,Critical,Medium,10,No,"25,001–50,000"
V146,Truck,13,148721,94,2238,49,15.3,12.42,43,108,Worn,Medium,12,No,"80,001+"
V147,Sedan,6,50431,105,2321,41,17.6,12.07,34,67,Moderate,Medium,11,Yes,"50,001–80,000"
V148,SUV,7,180046,107,1574,43,11.8,12.1,33,81,Critical,High,2,No,"25,001–50,000"
V149,Truck,2,42468,88,2532,34,6.6,11.31,40,38,Critical,High,2,No,"50,001–80,000"
V150,Truck,4,190348,101,2327,48,10.3,11.31,32,46,Critical,High,6,Yes,"25,001–50,000"
V151,SUV,8,99765,103,2333,43,9.0,11.01,35,80,Critical,High,4,No,"25,001–50,000"
V152,Truck,6,128878,97,2435,43,9.2,12.41,41,99,Worn,Low,5,No,"80,001+"
V153,Truck,8,199455,104,2969,36,16.1,12.47,36,67,Moderate,Low,6,No,"80,001+"
V154,SUV,13,163458,97,2815,24,16.8,12.79,39,42,Moderate,High,10,No,"25,001–50,000"
V155,Truck,12,89471,108,2200,46,9.5,11.68,31,42,Critical,Low,12,No,"25,001–50,000"
V156,Sedan,6,175844,93,2873,38,6.3,11.29,45,103,Critical,Low,12,Yes,"50,001–80,000"
V157,Sedan,6,164403,108,1892,31,14.8,12.16,44,59,Critical,Low,12,No,"25,001–50,000"
V158,Sedan,2,198955,87,1768,48,15.6,12.64,45,41,Good,Medium,5,No,"80,001+"
V159,Sedan,8,193608,86,2010,40,9.1,12.77,35,43,Worn,Medium,7,No,"80,001+"
V160,Sedan,5,147412,98,2390,30,19.7,11.88,38,72,Good,Medium,4,No,"80,001+"
V161,Sedan,5,72166,85,2516,21,11.2,12.29,32,62,Good,High,11,Yes,"25,001–50,000"
V162,Sedan,1,103390,107,2188,37,19.5,13.0,36,87,Worn,Low,3,No,"80,001+"
V163,Truck,7,136326,95,2836,30,6.8,11.58,40,85,Good,Low,8,No,"80,001+"
V164,SUV,3,176867,108,1812,33,9.7,11.8,31,64,Critical,Medium,7,No,"50,001–80,000"
V165,SUV,2,164089,91,2852,28,11.0,11.42,39,64,Worn,Low,12,No,"50,001–80,000"
V166,Sedan,4,173581,87,2871,49,14.7,12.49,38,59,Good,High,10,Yes,"50,001–80,000"
V167,Sedan,12,160737,88,1974,41,5.1,12.15,43,32,Moderate,High,3,No,"50,001–80,000"
V168,Truck,9,105736,110,1833,41,16.5,11.44,40,73,Worn,Low,7,No,"80,001+"
V169,Sedan,10,20093,97,2112,37,14.0,12.65,33,61,Good,Medium,6,Yes,"80,001+"
V170,Truck,12,85788,99,2150,25,9.9,11.14,40,100,Moderate,Low,5,Yes,"50,001–80,000"
V171,Hatchback,6,21811,92,1842,29,6.2,11.71,44,104,Critical,High,11,No,"10,001–25,000"
V172,Truck,2,44795,93,1619,24,15.6,12.82,33,88,Moderate,High,1,No,"50,001–80,000"
V173,Hatchback,14,172762,87,2804,28,13.3,11.32,33,58,Worn,Medium,12,Yes,"50,001–80,000"
V174,SUV,4,131142,106,2318,30,9.6,12.99,41,80,Worn,High,5,Yes,"50,001–80,000"
V175,SUV,10,170893,99,2372,27,6.7,12.09,35,30,Critical,Medium,3,No,"50,001–80,000"
V176,Truck,14,75780,109,2357,47,13.2,12.26,44,67,Critical,Low,5,No,"25,001–50,000"
V177,Sedan,9,78063,110,2166,43,15.1,11.64,35,71,Worn,Low,1,Yes,"80,001+"
V178,SUV,13,176629,106,2602,41,18.5,12.99,44,104,Moderate,Low,12,No,"50,001–80,000"
V179,Hatchback,3,173346,88,2800,37,16.5,11.85,40,42,Good,Low,11,Yes,"80,001+"
V180,SUV,8,75437,108,2700,20,12.3,12.45,38,81,Critical,Medium,9,Yes,"10,001–25,000"
V181,Hatchback,4,77391,109,2178,44,15.1,12.8,33,110,Worn,Medium,9,Yes,"50,001–80,000"
V182,Truck,15,34876,108,2315,28,7.2,12.06,43,83,Worn,Medium,2,Yes,"25,001–50,000"
V183,Hatchback,7,56156,98,1961,47,7.3,12.75,38,82,Worn,Medium,8,No,"80,001+"
V184,Truck,9,64011,93,2217,44,9.1,11.44,34,105,Good,Medium,1,No,"80,001+"
V185,Truck,10,195325,99,2664,46,11.0,12.58,38,57,Good,High,8,Yes,"80,001+"
V186,Hatchback,15,168991,101,1858,29,17.4,11.96,37,32,Worn,Medium,7,No,"25,001–50,000"
V187,SUV,15,100259,100,2266,47,5.6,12.82,33,57,Good,High,4,No,"50,001–80,000"
V188,Sedan,8,63142,85,1940,23,14.7,12.39,41,52,Worn,High,5,Yes,"50,001–80,000"
V189,SUV,5,67340,97,2962,24,7.8,11.27,43,80,Worn,Medium,2,No,"80,001+"
V190,Hatchback,8,166447,103,2660,50,19.8,11.03,33,102,Moderate,High,5,Yes,"50,001–80,000"
V191,Truck,7,48483,110,2667,35,10.2,11.01,36,93,Moderate,High,10,No,"25,001–50,000"
V192,SUV,3,98779,99,2154,36,6.5,11.71,38,57,Critical,Medium,9,Yes,"50,001–80,000"
V193,Sedan,12,18461,110,2044,26,12.6,12.81,40,61,Worn,Medium,10,No,"25,001–50,000"
V194,SUV,9,124888,89,2098,33,19.5,11.01,31,48,Good,High,6,No,"80,001+"
V195,Truck,7,162137,110,1739,42,12.3,12.02,42,59,Worn,Medium,1,Yes,"80,001+"
V196,Hatchback,6,105808,101,1891,50,19.1,12.53,35,69,Good,Low,2,No,"80,001+"
V197,SUV,6,183400,109,1976,29,6.6,12.47,32,39,Worn,Medium,10,No,"25,001–50,000"
V198,Sedan,9,197092,95,2665,25,7.3,11.19,34,47,Critical,Medium,4,Yes,"50,001–80,000"
V199,Hatchback,10,94355,86,2459,35,9.7,12.58,42,106,Good,Medium,2,No,"80,001+"
V200,Truck,11,102660,100,2559,43,10.3,11.32,36,91,Moderate,Low,1,No,"80,001+"
V201,Truck,8,76792,89,2555,30,5.6,11.56,35,81,Good,High,7,Yes,"80,001+"
V202,Sedan,10,43016,86,1756,36,18.1,11.73,42,92,Critical,High,3,No,"50,001–80,000"
V203,Sedan,1,82317,85,1950,43,12.6,11.79,30,100,Moderate,High,7,No,"80,001+"
V204,SUV,14,186880,100,2765,46,9.1,12.89,36,63,Good,High,11,Yes,"50,001–80,000"
V205,Hatchback,13,54832,104,2471,50,19.1,12.35,44,75,Good,Medium,11,Yes,"50,001–80,000"
V206,Truck,1,92129,92,1955,30,10.0,12.23,45,72,Good,Low,7,No,"80,001+"
V207,Truck,4,44940,100,1822,50,7.7,11.02,33,87,Critical,Medium,1,Yes,"80,001+"
V208,Hatchback,1,119353,88,1688,38,9.9,12.3,41,51,Moderate,High,3,Yes,"80,001+"
V209,Sedan,4,96196,92,2488,26,15.2,12.8,35,46,Good,Medium,6,Yes,"80,001+"
V210,Sedan,11,101041,93,2694,23,8.0,12.43,38,102,Critical,Low,12,No,"25,001–50,000"
V211,Hatchback,4,50562,97,1812,31,7.0,11.42,37,51,Moderate,Low,11,Yes,"80,001+"
V212,Truck,13,68639,100,1536,36,14.2,12.07,34,61,Worn,Low,3,No,"80,001+"
V213,Sedan,4,82787,109,2613,43,12.6,11.93,37,32,Good,Low,3,No,"80,001+"
V214,Truck,8,70396,93,1969,20,11.3,11.08,31,66,Moderate,Low,9,No,"50,001–80,000"
V215,SUV,8,48330,101,2363,50,7.8,12.76,40,97,Worn,High,3,No,"50,001–80,000"
V216,SUV,2,46878,109,2128,41,10.0,12.18,34,81,Moderate,High,10,No,"25,001–50,000"
V217,SUV,3,133532,95,2979,31,16.4,11.61,41,51,Worn,High,12,Yes,"50,001–80,000"
V218,Sedan,1,115574,105,2269,33,14.0,12.69,35,93,Good,Low,7,Yes,"80,001+"
V219,Truck,9,199514,107,1905,43,5.7,11.79,45,88,Moderate,Medium,4,No,"80,001+"
V220,Sedan,5,173774,91,1808,44,13.3,12.31,33,43,Worn,High,3,Yes,"80,001+"
V221,SUV,12,28377,96,1953,35,9.3,12.67,38,92,Worn,High,1,No,"50,001–80,000"
V222,Sedan,13,155528,103,2444,41,9.4,12.07,43,38,Worn,High,2,Yes,"25,001–50,000"
V223,Truck,9,183648,92,2941,21,8.3,11.19,30,67,Good,High,2,Yes,"50,001–80,000"
V224,Sedan,5,37692,87,2157,36,6.4,12.68,35,97,Critical,High,4,No,"50,001–80,000"
V225,Hatchback,4,153778,106,2609,24,15.5,12.58,38,99,Critical,Low,8,No,"25,001–50,000"
V226,Truck,4,199557,96,1642,50,12.9,12.37,33,50,Worn,Medium,7,Yes,"80,001+"
V227,SUV,12,180463,105,1615,26,18.2,12.37,40,68,Critical,Low,3,Yes,"10,001–25,000"
V228,Hatchback,10,97125,97,2290,36,10.8,11.04,38,105,Good,High,12,No,"50,001–80,000"
V229,Truck,7,98841,91,2361,22,6.5,11.6,31,85,Worn,High,2,Yes,"50,001–80,000"
V230,Hatchback,13,61234,86,2381,30,11.9,12.25,38,40,Good,High,8,No,"50,001–80,000"
V231,SUV,4,68118,106,2601,34,13.6,12.9,35,102,Moderate,Medium,5,Yes,"80,001+"
V232,Hatchback,15,68173,100,1960,39,13.1,12.84,35,60,Critical,Low,11,No,"50,001–80,000"
V233,Truck,8,114775,92,2567,35,18.1,11.04,38,82,Good,Low,3,Yes,"80,001+"
V234,SUV,7,34189,101,2695,47,7.7,12.63,42,36,Critical,High,11,Yes,"10,001–25,000"
V235,SUV,10,177202,105,1586,25,11.0,12.62,44,39,Critical,High,9,Yes,"0–10,000"
V236,SUV,15,31203,98,2555,25,19.2,12.88,43,49,Good,High,11,Yes,"25,001–50,000"
V237,Sedan,10,134566,99,2252,42,16.4,12.86,44,59,Good,Low,9,No,"80,001+"
V238,Sedan,9,25936,105,1845,26,5.0,12.07,37,53,Worn,High,1,Yes,"25,001–50,000"
V239,Sedan,5,77894,97,1796,33,19.8,12.69,39,43,Good,Medium,11,Yes,"80,001+"
V240,Truck,12,183312,86,2187,24,6.5,11.28,45,51,Moderate,Medium,3,No,"50,001–80,000"
V241,SUV,14,6732,104,1909,28,16.4,12.73,44,42,Worn,Medium,3,No,"25,001–50,000"
V242,Truck,3,157909,100,2418,25,19.0,11.47,37,56,Good,Low,3,No,"80,001+"
V243,Hatchback,3,104331,86,2090,46,13.1,11.59,37,72,Good,High,8,Yes,"80,001+"
V244,SUV,2,35578,94,1857,21,19.8,12.09,43,90,Good,Low,9,Yes,"50,001–80,000"
V245,SUV,7,57844,88,2153,36,16.1,11.45,33,100,Good,Low,11,No,"80,001+"
V246,Truck,3,34944,94,1505,32,15.1,11.96,38,87,Good,Medium,4,No,"80,001+"
V247,Sedan,1,140641,108,1649,46,9.5,11.33,39,101,Moderate,High,2,Yes,"50,001–80,000"
V248,Sedan,14,121704,106,2753,32,13.6,12.51,35,41,Good,Medium,6,Yes,"50,001–80,000"
V249,SUV,8,79551,101,1509,23,8.2,11.62,37,108,Good,High,6,No,"25,001–50,000"
V250,Sedan,9,188456,89,2419,40,19.5,12.12,43,100,Critical,Medium,4,No,"80,001+"
V251,Hatchback,10,162216,103,2226,35,8.8,11.49,43,105,Moderate,Low,7,No,"80,001+"
V252,Hatchback,4,35041,110,2969,41,13.1,12.68,45,81,Good,High,3,Yes,"50,001–80,000"
V253,Sedan,8,34961,89,2055,43,16.8,11.75,44,87,Good,High,7,No,"80,001+"
V254,Sedan,7,115785,90,2891,45,15.6,12.9,36,105,Critical,High,8,Yes,"50,001–80,000"
V255,Hatchback,9,13816,99,1936,49,13.1,11.57,34,86,Critical,Low,10,Yes,"50,001–80,000"
V256,Hatchback,7,182098,85,1613,39,15.6,11.25,45,59,Good,High,1,No,"80,001+"
V257,Sedan,3,117132,98,2860,25,12.9,12.4,41,78,Good,Low,4,Yes,"80,001+"
V258,SUV,14,183863,86,1994,42,9.6,12.88,31,82,Worn,Low,6,No,"80,001+"
V259,Hatchback,12,139497,105,2927,25,11.6,12.33,37,41,Moderate,High,4,No,"10,001–25,000"
V260,Sedan,3,44626,104,2695,23,7.0,12.81,33,68,Good,Low,4,No,"50,001–80,000"
V261,Hatchback,7,110428,93,2499,43,14.6,12.06,34,39,Worn,Low,3,No,"80,001+"
V262,Truck,11,86638,102,2501,47,14.2,11.92,45,56,Critical,High,5,No,"10,001–25,000"
