Vehicle_Type,Vehicle_Age,Mileage,Engine_Temp,RPM,Oil_Pressure,Fuel_Consumption,Battery_Voltage,Brake_Pressure,Tire_Pressure,Tire_Condition,Vibration_Level,Last_Service_Months,Accident_History,KM_Range_Before_Defect
Hatchback,9,183469,86,1744,23,8.0,12.06,36,74,Good,High,9,Yes,25001–50000
Truck,5,14669,99,1864,50,12.0,11.36,33,91,Worn,Medium,11,Yes,50001–80000
Hatchback,13,42620,85,1942,32,15.3,11.88,40,72,Good,Low,12,Yes,25001–50000
Truck,13,132465,103,1701,31,15.9,12.57,32,56,Worn,High,12,No,25001–50000
SUV,7,145241,97,1578,31,10.3,11.74,30,49,Moderate,High,9,No,50001–80000
Sedan,15,31882,94,2041,23,7.4,11.66,34,73,Critical,High,7,Yes,25001–50000
Hatchback,7,44899,108,2766,27,14.5,11.87,35,70,Moderate,Low,9,No,50001–80000
Hatchback,12,16765,92,2196,46,7.8,11.67,32,48,Worn,Medium,2,No,50001–80000
Hatchback,12,188200,91,1660,35,18.5,12.62,39,61,Worn,High,2,Yes,25001–50000
SUV,13,63014,109,2053,49,12.4,12.07,39,98,Worn,Medium,2,No,50001–80000
SUV,5,78585,99,2134,45,17.2,12.16,33,54,Good,Low,11,No,50001–80000
Hatchback,6,7918,92,2612,32,12.9,11.52,42,81,Worn,Medium,3,Yes,50001–80000
Hatchback,2,85371,99,2705,38,12.8,12.13,37,53,Worn,Low,12,Yes,50001–80000
SUV,12,170536,92,2992,38,13.9,12.38,34,71,Critical,Low,4,Yes,50001–80000
Truck,11,83494,92,2886,26,15.1,12.31,36,49,Moderate,Low,11,No,50001–80000
SUV,1,189343,102,1667,21,16.6,11.48,34,83,Critical,High,8,No,50001–80000
Sedan,1,24257,95,2548,35,9.6,12.53,40,95,Critical,Low,10,No,50001–80000
Truck,13,21603,104,2194,26,10.8,12.29,37,74,Critical,High,7,No,25001–50000
Truck,8,62865,94,2093,48,8.0,12.0,34,80,Worn,Low,5,No,50001–80000
SUV,14,27036,90,1896,41,9.2,11.47,43,62,Moderate,Low,8,No,50001–80000
Sedan,4,53820,85,1630,47,8.0,12.05,31,58,Worn,Low,9,No,50001–80000
Sedan,14,17041,101,2615,27,5.9,12.64,36,104,Critical,Low,7,Yes,50001–80000
Hatchback,13,127298,109,2289,36,17.1,12.72,39,47,Good,High,12,Yes,25001–50000
Truck,7,79491,102,2322,20,13.5,11.91,35,79,Critical,Medium,4,Yes,50001–80000
SUV,4,197588,106,2871,41,5.4,11.01,45,63,Worn,Low,11,No,50001–80000
Hatchback,11,5224,103,2629,24,17.6,11.84,37,62,Good,Low,1,Yes,50001–80000
Sedan,8,116063,102,2442,36,16.9,11.21,37,72,Critical,Low,4,Yes,50001–80000
Hatchback,14,12983,95,2329,31,6.2,11.38,36,59,Good,Low,8,No,50001–80000
Sedan,3,111228,93,2420,41,6.9,11.28,41,108,Worn,Low,2,No,50001–80000
Hatchback,9,145722,94,1792,23,19.5,12.83,45,77,Good,Medium,5,No,50001–80000
Truck,8,48117,110,2525,38,12.3,12.93,42,90,Critical,High,12,No,25001–50000
Sedan,6,82299,105,1823,27,7.5,12.69,42,83,Worn,Medium,7,Yes,50001–80000
SUV,7,17360,97,2370,21,12.2,12.52,31,46,Worn,Medium,8,Yes,50001–80000
Hatchback,6,178762,86,1897,30,14.3,11.93,43,51,Good,Low,5,Yes,50001–80000
Hatchback,4,112286,106,2206,43,7.8,11.92,40,49,Critical,High,11,Yes,25001–50000
SUV,4,181044,102,1869,45,15.1,11.87,39,88,Worn,High,6,Yes,50001–80000
Truck,2,160590,89,1740,47,14.4,12.63,43,72,Critical,Medium,2,No,50001–80000
Truck,11,171072,88,1556,23,17.4,12.51,33,67,Moderate,Medium,4,No,50001–80000
SUV,3,86682,86,2228,23,5.5,11.44,38,44,Critical,Medium,4,No,50001–80000
Hatchback,6,183943,109,1731,43,16.0,12.11,39,69,Worn,Medium,5,No,50001–80000
Hatchback,8,38661,101,2386,28,8.5,12.68,35,42,Critical,High,6,Yes,25001–50000
Hatchback,11,17105,106,1924,41,6.8,11.87,44,31,Critical,High,9,Yes,25001–50000
Hatchback,1,6315,94,2157,45,20.0,12.88,40,75,Critical,Medium,6,No,50001–80000
Hatchback,3,161775,88,2117,42,6.0,11.83,41,85,Critical,Low,8,Yes,50001–80000
Truck,13,180332,94,2650,35,9.1,12.19,35,97,Good,Medium,12,No,25001–50000
Sedan,12,70404,91,1983,30,5.8,11.32,30,102,Good,High,6,No,25001–50000
Truck,8,42347,98,2250,38,5.2,12.21,36,35,Moderate,Low,3,No,50001–80000
Sedan,12,50806,94,2167,24,12.2,11.58,36,110,Good,Low,1,No,50001–80000
Hatchback,4,181500,92,2409,21,9.5,11.51,34,33,Worn,Medium,5,Yes,50001–80000
Hatchback,6,113037,102,2961,31,9.1,12.45,32,33,Good,Medium,1,Yes,50001–80000
Truck,8,47919,89,2622,50,11.0,12.76,45,102,Moderate,High,9,Yes,25001–50000
Truck,5,170642,92,2451,49,16.2,11.45,39,49,Critical,Low,5,No,50001–80000
Sedan,6,192978,85,2660,21,9.3,11.66,32,91,Moderate,Medium,6,Yes,50001–80000
Hatchback,8,172856,105,1555,42,15.4,12.3,34,88,Moderate,Low,11,No,50001–80000
Hatchback,13,12649,106,2777,30,14.6,12.2,44,105,Critical,Low,6,No,50001–80000
Sedan,10,68331,106,1656,40,11.9,12.17,30,100,Critical,Low,1,Yes,50001–80000
Truck,10,109248,105,1962,26,19.1,12.12,31,59,Good,High,2,Yes,25001–50000
Hatchback,7,117491,103,2083,21,10.8,12.71,37,99,Moderate,High,11,Yes,25001–50000
Sedan,12,198875,108,1526,38,5.2,11.75,45,95,Worn,High,7,Yes,25001–50000
Hatchback,15,159668,107,1628,24,7.9,11.95,36,97,Critical,High,1,No,25001–50000
SUV,9,50127,105,2121,33,7.9,12.12,43,41,Good,Medium,3,No,50001–80000
SUV,3,88981,107,2306,33,12.1,11.56,45,91,Moderate,Low,1,Yes,50001–80000
Hatchback,2,31155,85,2112,32,7.7,11.34,42,73,Critical,Medium,4,No,50001–80000
Sedan,7,101837,92,1639,35,14.0,12.72,38,91,Good,High,12,No,25001–50000
Truck,13,164786,107,1632,27,13.6,11.94,41,94,Moderate,High,11,Yes,25001–50000
Hatchback,5,170915,85,1908,20,11.9,12.73,44,47,Critical,High,7,No,25001–50000
Sedan,3,120852,87,2232,33,18.4,11.12,41,77,Worn,Low,9,Yes,50001–80000
Sedan,14,125515,89,2422,25,13.4,12.56,34,89,Moderate,High,7,No,25001–50000
Sedan,11,143830,85,1531,38,18.5,12.15,40,76,Moderate,Low,7,No,50001–80000
Truck,4,142950,86,2866,32,15.4,12.16,38,106,Worn,High,12,Yes,50001–80000
Hatchback,13,104130,97,2718,33,10.9,12.29,35,82,Worn,Medium,8,Yes,50001–80000
SUV,12,113374,105,2350,42,9.9,12.01,41,40,Moderate,Low,7,No,50001–80000
Sedan,7,78667,95,2998,49,15.5,12.04,42,100,Worn,High,11,No,50001–80000
Hatchback,5,126665,104,2354,21,9.2,12.19,34,89,Good,High,11,Yes,25001–50000
Hatchback,11,182453,103,1763,31,5.4,12.64,43,93,Worn,Low,10,No,50001–80000
SUV,2,31671,91,2663,45,5.3,12.53,41,54,Critical,Medium,3,No,50001–80000
Hatchback,2,15158,90,1979,43,9.0,11.47,43,75,Good,High,8,No,50001–80000
Sedan,7,29389,102,1877,42,20.0,11.92,31,89,Good,Low,1,No,50001–80000
Sedan,2,137750,109,2844,35,12.0,12.44,44,54,Worn,High,7,No,50001–80000
Hatchback,7,132724,87,2467,22,11.3,12.67,41,67,Good,Low,7,No,50001–80000
Hatchback,11,39937,105,1864,30,13.0,12.89,45,30,Critical,Medium,4,Yes,50001–80000
Sedan,15,124059,87,2619,21,7.8,11.82,33,54,Critical,Medium,5,Yes,25001–50000
Sedan,5,120336,99,1891,25,15.7,12.47,43,101,Worn,High,9,Yes,25001–50000
Sedan,1,43950,93,1756,28,14.6,12.2,43,96,Critical,High,3,No,50001–80000
SUV,2,31913,89,2224,28,8.4,12.73,36,67,Good,Low,12,No,50001–80000
Truck,8,16712,86,1734,23,5.7,11.02,32,72,Good,Low,9,Yes,50001–80000
Sedan,5,43787,104,1864,28,7.5,12.74,41,93,Good,Medium,11,No,50001–80000
SUV,7,25513,99,2133,40,15.7,11.99,41,52,Good,Low,6,No,50001–80000
Truck,4,6907,93,2562,44,7.1,12.43,42,80,Moderate,High,6,No,50001–80000
Sedan,13,65312,103,1646,26,8.4,11.9,43,36,Moderate,Low,1,Yes,50001–80000
Hatchback,5,34564,91,1982,48,15.6,12.51,32,102,Worn,Medium,4,No,50001–80000
SUV,12,6807,95,1552,20,18.4,12.51,43,87,Worn,Medium,5,No,50001–80000
Hatchback,6,29293,107,1802,26,12.8,11.95,38,51,Good,Low,2,Yes,50001–80000
Truck,15,74497,85,2505,38,10.0,12.31,33,33,Worn,Medium,8,Yes,50001–80000
SUV,5,77058,86,2016,30,17.3,11.42,30,77,Worn,Medium,11,Yes,50001–80000
SUV,3,45004,107,1552,24,18.3,11.82,40,86,Worn,Medium,9,No,50001–80000
Hatchback,13,28869,87,2063,28,10.4,12.38,42,65,Good,High,2,Yes,25001–50000
Sedan,12,86034,85,2766,33,6.6,11.39,40,82,Worn,Low,4,No,50001–80000
Truck,8,92509,107,2157,32,11.4,11.55,30,95,Good,Medium,9,Yes,50001–80000
Sedan,7,40511,104,2215,28,16.1,11.84,36,45,Moderate,Low,9,Yes,50001–80000
Hatchback,14,90434,92,2501,23,13.5,12.72,34,96,Critical,Medium,3,Yes,50001–80000
Sedan,6,30192,90,2964,31,16.4,12.94,30,96,Worn,High,1,No,50001–80000
Hatchback,11,162701,92,2711,48,19.6,11.09,45,53,Moderate,Medium,6,No,50001–80000
Sedan,3,19296,104,2244,43,5.6,11.67,41,73,Good,Medium,7,Yes,50001–80000
SUV,5,97319,110,1637,24,12.8,12.19,43,104,Moderate,Low,8,No,50001–80000
Truck,15,7446,105,2848,43,11.0,12.39,43,54,Worn,High,11,Yes,25001–50000
SUV,10,185685,108,1515,45,12.4,11.84,38,45,Worn,Low,12,Yes,50001–80000
Sedan,12,93495,87,2187,26,9.5,11.88,37,79,Critical,Low,8,No,50001–80000
Sedan,8,195491,95,2937,24,11.7,11.46,35,87,Good,Low,4,Yes,50001–80000
Hatchback,9,191652,97,2147,49,14.2,11.77,36,54,Moderate,Low,3,Yes,50001–80000
Sedan,7,178505,110,1503,49,12.4,11.12,40,106,Good,Low,7,Yes,50001–80000
Hatchback,4,161938,92,2829,29,16.0,12.85,35,78,Critical,High,5,No,50001–80000
SUV,7,142135,102,2927,39,13.2,12.4,40,88,Moderate,Medium,11,Yes,50001–80000
Hatchback,6,102230,92,1552,28,10.9,11.76,34,84,Worn,Low,2,Yes,50001–80000
Truck,14,127314,88,1746,45,14.3,12.23,44,57,Moderate,Low,7,Yes,50001–80000
Hatchback,4,76538,92,1504,29,17.2,12.53,40,94,Good,High,8,Yes,50001–80000
Truck,7,71567,96,2045,45,15.6,12.15,35,93,Critical,High,2,Yes,50001–80000
SUV,12,61748,104,1686,42,7.3,11.52,44,42,Worn,Low,2,Yes,50001–80000
Hatchback,5,33651,106,2550,43,6.4,12.21,31,48,Good,Medium,9,Yes,50001–80000
Truck,5,14863,99,2629,22,17.0,12.98,40,91,Moderate,Low,6,No,50001–80000
Truck,5,59925,109,1864,39,19.6,11.97,30,46,Critical,Low,4,Yes,50001–80000
Truck,1,147182,105,1629,38,17.6,11.42,33,59,Worn,Low,9,Yes,50001–80000
Sedan,15,111943,96,1818,32,16.4,11.95,37,107,Moderate,High,10,No,25001–50000
SUV,3,93061,90,2723,45,12.8,12.58,43,73,Worn,High,2,Yes,50001–80000
Truck,5,128724,107,2023,43,16.6,11.34,39,45,Moderate,Medium,3,No,50001–80000
Truck,11,77908,95,1806,45,13.6,12.52,31,96,Worn,Low,11,Yes,50001–80000
Sedan,12,100524,107,2494,27,6.7,12.85,40,33,Worn,Medium,2,Yes,50001–80000
Hatchback,6,155594,99,1875,40,8.3,12.11,32,93,Worn,Low,1,Yes,50001–80000
Truck,1,133230,100,2003,41,9.2,11.9,32,41,Worn,Low,7,Yes,50001–80000
Hatchback,11,48885,99,2318,32,5.8,11.46,44,41,Critical,Low,9,Yes,50001–80000
SUV,8,73135,94,1948,22,6.7,11.1,31,102,Worn,High,2,Yes,50001–80000
Sedan,12,65145,98,2069,48,7.0,11.63,31,37,Critical,High,3,No,25001–50000
Hatchback,12,183992,108,2685,25,11.9,11.98,31,70,Moderate,High,1,No,25001–50000
Truck,6,89384,95,1968,32,16.1,12.71,37,57,Critical,Medium,11,No,50001–80000
SUV,8,129562,101,2400,20,10.3,12.44,34,44,Worn,Low,9,No,50001–80000
SUV,9,71577,94,1820,45,16.3,12.27,43,91,Critical,High,3,Yes,25001–50000
Sedan,14,41521,103,1933,21,6.4,12.99,39,106,Critical,High,9,No,25001–50000
SUV,12,139423,101,1841,20,5.8,12.59,40,51,Critical,High,6,No,25001–50000
Sedan,15,28057,90,2846,24,9.9,12.69,42,98,Worn,Medium,2,Yes,50001–80000
Sedan,9,41058,88,2756,31,16.7,11.22,39,74,Worn,Low,2,Yes,50001–80000
Truck,2,104815,102,2336,28,6.2,11.05,32,81,Critical,High,1,No,50001–80000
Sedan,14,173021,88,2656,44,10.0,12.64,43,91,Moderate,Medium,3,No,50001–80000
Sedan,7,148539,103,2611,36,6.5,12.76,33,102,Moderate,Medium,11,No,50001–80000
SUV,3,40260,104,1588,33,14.4,11.42,32,95,Worn,Medium,2,Yes,50001–80000
Truck,8,57209,94,2977,21,13.2,11.53,30,39,Worn,Medium,2,Yes,50001–80000
SUV,5,79516,92,2915,23,17.1,11.62,35,60,Worn,Medium,9,No,50001–80000
Hatchback,3,17933,100,1849,26,14.5,12.31,44,82,Critical,Medium,11,No,50001–80000
Sedan,9,193216,90,1563,35,16.1,12.74,35,32,Worn,High,7,No,25001–50000
Hatchback,15,81358,89,1980,44,7.7,12.15,33,77,Worn,High,5,No,25001–50000
SUV,12,142707,101,2705,50,6.4,12.96,42,107,Moderate,Low,5,No,50001–80000
SUV,13,123531,94,2539,42,7.5,12.54,30,95,Critical,Medium,3,Yes,50001–80000
Sedan,13,171179,99,2439,38,7.8,12.78,42,110,Moderate,High,12,No,25001–50000
SUV,10,113487,102,2122,41,9.5,12.81,38,44,Moderate,Medium,8,No,50001–80000
Sedan,9,12856,99,1923,30,6.8,12.59,39,35,Critical,Medium,4,No,50001–80000
Truck,8,42604,88,1536,36,9.7,12.72,43,108,Worn,High,8,Yes,50001–80000
Hatchback,6,54073,105,2861,49,20.0,11.63,34,54,Critical,High,5,Yes,50001–80000
Hatchback,7,30803,101,2845,31,9.7,12.11,39,61,Good,Medium,7,No,50001–80000
Truck,6,161481,93,2192,44,11.7,12.63,40,68,Worn,High,8,No,50001–80000
SUV,8,116032,108,2794,42,10.0,11.81,45,70,Good,Medium,9,Yes,50001–80000
SUV,2,165246,107,2184,26,13.7,11.12,43,84,Critical,High,1,Yes,50001–80000
Truck,5,48790,89,2199,31,6.6,12.0,39,105,Worn,High,5,No,50001–80000
SUV,5,15509,100,1899,31,15.0,12.99,43,102,Moderate,Medium,6,No,50001–80000
Hatchback,11,151105,85,2610,30,8.6,12.9,32,51,Good,Medium,8,Yes,50001–80000
Truck,7,73871,86,1587,47,7.0,11.08,44,45,Good,Low,5,No,50001–80000
Sedan,7,88752,102,1737,35,17.4,12.28,41,59,Critical,High,5,No,50001–80000
Truck,12,104320,98,2110,47,10.3,12.17,38,46,Good,High,10,Yes,25001–50000
Sedan,5,144250,108,2180,37,9.8,12.04,38,90,Critical,Low,11,No,50001–80000
Truck,6,116931,91,1501,36,15.7,11.6,39,47,Worn,High,8,No,25001–50000
Hatchback,1,114172,99,2508,27,19.0,11.77,39,42,Critical,Medium,9,Yes,50001–80000
Truck,2,43746,86,2574,50,7.6,12.87,39,100,Moderate,Medium,9,Yes,50001–80000
SUV,12,113849,92,2652,33,8.4,12.27,40,41,Critical,Low,1,No,50001–80000
Hatchback,9,55211,87,1665,30,18.8,11.75,34,106,Good,High,7,No,25001–50000
Hatchback,3,18258,109,2257,40,12.9,12.7,30,39,Worn,Low,3,No,80001–120000
Hatchback,13,187466,109,2351,50,9.1,11.61,32,48,Moderate,High,3,Yes,25001–50000
SUV,7,90882,87,2504,23,17.8,11.22,36,103,Moderate,High,8,No,25001–50000
Hatchback,11,162666,93,2008,49,11.3,11.97,34,98,Critical,Medium,12,Yes,25001–50000
Hatchback,14,52075,107,2604,25,12.4,12.94,38,99,Moderate,Medium,1,Yes,25001–50000
Hatchback,6,198862,98,1615,27,17.6,11.61,31,32,Critical,High,5,Yes,25001–50000
SUV,13,155498,88,2014,35,19.1,12.14,40,49,Moderate,Medium,4,Yes,50001–80000
Hatchback,4,110260,101,2735,42,18.5,12.9,34,44,Moderate,Low,9,No,50001–80000
SUV,12,159497,98,2744,21,10.8,11.04,34,109,Moderate,Medium,6,Yes,50001–80000
SUV,12,145376,96,2529,28,7.4,11.13,39,106,Worn,Medium,1,Yes,50001–80000
Truck,10,68870,101,1703,41,17.4,11.51,37,39,Moderate,High,10,Yes,25001–50000
Truck,8,167429,108,2781,50,16.5,12.75,32,101,Moderate,Medium,6,No,50001–80000
Hatchback,5,105320,99,1769,50,11.0,11.67,35,102,Critical,Low,11,Yes,50001–80000
SUV,8,125441,105,2875,41,9.2,12.28,42,70,Critical,Low,1,No,50001–80000
Sedan,6,57329,94,1625,43,8.5,11.39,42,41,Moderate,Low,6,No,50001–80000
Hatchback,15,148081,105,2519,31,6.1,12.8,44,56,Good,High,10,No,25001–50000
SUV,15,81889,89,2288,37,8.7,12.87,31,88,Good,Medium,6,No,50001–80000
Hatchback,3,132548,94,1743,31,17.0,12.15,44,46,Critical,High,10,Yes,50001–80000
SUV,12,95584,110,1840,44,14.8,11.33,40,74,Good,High,4,No,25001–50000
Hatchback,12,135643,94,1981,41,16.4,12.09,43,79,Good,High,7,No,25001–50000
Hatchback,5,143599,94,1654,50,19.5,11.18,45,59,Critical,Low,7,Yes,50001–80000
Sedan,12,33891,87,2277,37,12.3,11.26,43,54,Critical,Low,1,No,50001–80000
Sedan,9,96387,106,1638,26,19.4,12.3,32,31,Moderate,Medium,12,No,25001–50000
SUV,14,34279,97,1745,31,15.0,11.6,36,74,Worn,High,8,No,25001–50000
SUV,4,166375,107,2615,32,7.3,11.46,44,49,Worn,High,10,No,25001–50000
Truck,13,157063,94,2913,50,19.5,11.05,33,88,Moderate,Medium,6,Yes,50001–80000
Sedan,15,145821,90,2669,27,8.3,12.75,41,81,Worn,High,2,No,25001–50000
Hatchback,8,110562,101,2773,23,10.8,12.43,43,41,Critical,Medium,10,No,50001–80000
Sedan,4,86616,94,2044,35,13.1,12.91,35,81,Good,Low,11,Yes,50001–80000
Sedan,11,127653,98,1819,25,6.0,11.59,36,87,Moderate,Medium,12,Yes,25001–50000
Hatchback,1,84527,105,1825,23,7.9,12.6,38,68,Critical,Medium,10,No,50001–80000
Hatchback,6,190041,99,1730,34,13.8,12.93,44,80,Critical,High,8,No,25001–50000
Sedan,3,95543,102,2630,29,16.4,12.44,37,33,Good,High,1,No,50001–80000
Sedan,7,192828,110,2076,20,7.9,12.87,41,105,Moderate,High,11,Yes,25001–50000
Hatchback,4,182771,94,1530,48,17.1,12.29,36,71,Worn,Low,7,No,50001–80000
Sedan,11,123147,91,1919,28,14.2,12.91,41,84,Moderate,High,3,No,50001–80000
Truck,10,197011,85,2646,23,13.7,12.48,32,54,Moderate,High,2,Yes,25001–50000
SUV,3,35354,89,2405,47,15.6,11.2,39,100,Worn,High,7,No,50001–80000
Hatchback,8,181710,110,2909,48,5.3,11.77,37,49,Critical,Low,5,No,50001–80000
Hatchback,6,8323,109,1835,28,7.6,11.86,30,79,Moderate,High,7,No,25001–50000
SUV,11,196764,106,1850,22,14.8,11.75,31,65,Worn,Medium,12,No,25001–50000
Truck,2,28148,90,1938,40,18.3,12.31,42,83,Good,Medium,8,Yes,50001–80000
Truck,8,76009,105,2475,26,12.5,12.95,38,52,Worn,Low,2,Yes,50001–80000
Truck,7,158490,103,2979,28,8.9,11.35,36,83,Moderate,Medium,9,No,50001–80000
SUV,15,92375,94,1527,38,11.0,12.97,43,42,Good,High,10,Yes,25001–50000
Hatchback,13,18507,90,2163,25,19.4,11.01,41,43,Good,High,10,Yes,25001–50000
Truck,8,83985,87,1536,31,10.1,12.92,35,57,Moderate,Medium,6,Yes,50001–80000
SUV,5,45030,95,2861,38,14.1,11.19,41,80,Good,Medium,4,Yes,50001–80000
Sedan,4,188372,97,2024,50,16.9,12.79,34,68,Worn,High,6,Yes,50001–80000
Sedan,8,84902,103,2489,48,7.7,12.08,30,45,Critical,High,10,No,25001–50000
SUV,7,106588,98,2792,34,10.7,12.67,43,88,Critical,High,3,Yes,50001–80000
Hatchback,7,152850,108,2018,38,6.0,11.66,34,35,Good,Low,9,No,50001–80000
Truck,9,104212,95,2516,41,13.1,11.42,37,65,Moderate,Low,4,No,50001–80000
SUV,1,65767,102,3000,23,17.2,12.02,45,67,Worn,Medium,1,No,80001–120000
Truck,4,63853,91,2782,50,16.6,11.21,41,92,Moderate,High,5,Yes,50001–80000
Truck,5,195605,102,2597,24,6.1,12.48,32,55,Good,High,6,Yes,25001–50000
SUV,15,55088,98,1984,25,15.4,11.77,45,55,Moderate,Medium,11,No,25001–50000
SUV,6,165023,90,1669,48,7.2,12.81,36,68,Moderate,High,10,No,25001–50000
Hatchback,15,169287,92,2908,30,12.0,11.82,37,37,Good,High,11,Yes,25001–50000
Sedan,6,161274,99,2461,41,16.5,12.01,36,56,Moderate,High,9,Yes,25001–50000
Truck,6,174641,98,2655,37,11.2,12.4,37,107,Worn,Low,9,Yes,50001–80000
SUV,1,26137,102,2975,44,9.0,12.09,36,53,Moderate,High,9,No,50001–80000
Sedan,7,7200,90,2768,20,13.6,11.12,31,87,Moderate,High,5,Yes,50001–80000
Hatchback,1,178554,99,2150,33,13.7,12.23,36,69,Moderate,Low,12,Yes,50001–80000
Truck,13,23117,88,1553,22,18.2,11.98,42,80,Critical,Low,4,No,50001–80000
Sedan,7,61334,107,1761,37,5.2,11.35,37,68,Moderate,Medium,5,Yes,50001–80000
Truck,7,119426,93,2538,46,16.8,11.47,34,83,Worn,Low,7,No,50001–80000
Hatchback,14,5834,103,2707,36,19.7,11.71,43,58,Worn,Low,11,Yes,50001–80000
Truck,8,180780,97,2792,21,11.0,11.2,40,60,Worn,Low,4,No,50001–80000
Hatchback,11,33190,88,2615,47,19.2,12.22,31,81,Critical,Low,8,Yes,50001–80000
SUV,9,190022,110,1865,26,16.3,11.7,36,91,Good,High,7,No,25001–50000
Hatchback,8,67129,90,1636,44,5.5,11.57,31,82,Critical,High,1,Yes,50001–80000
Hatchback,15,196615,87,2969,36,9.7,11.86,42,96,Good,Medium,9,Yes,25001–50000
SUV,4,159333,110,1736,34,18.5,11.36,39,59,Good,High,10,No,25001–50000
Hatchback,8,66765,91,2199,23,13.7,11.13,45,43,Worn,Medium,5,Yes,50001–80000
SUV,13,115311,94,2670,38,19.0,12.26,41,39,Good,Low,9,No,50001–80000
Truck,14,155416,98,2736,29,13.3,12.23,38,74,Critical,Low,9,No,50001–80000
Truck,11,62639,96,2772,27,7.9,12.09,41,34,Moderate,Low,8,Yes,50001–80000
Hatchback,2,171712,92,2798,33,11.6,11.04,38,87,Critical,Medium,8,Yes,50001–80000
Truck,14,32332,104,1892,25,15.9,11.76,44,60,Critical,High,4,Yes,25001–50000
Hatchback,2,63663,103,2802,40,6.0,12.56,32,55,Critical,Low,10,Yes,50001–80000
SUV,13,152980,96,2070,41,16.3,12.6,42,59,Critical,High,9,No,25001–50000
Hatchback,14,138209,105,2373,34,8.0,12.79,39,69,Critical,High,4,Yes,25001–50000
Truck,11,22891,86,2345,21,19.8,11.06,32,94,Good,Low,6,No,50001–80000
Hatchback,8,141513,89,1909,47,9.8,12.43,35,69,Worn,Medium,9,Yes,50001–80000
Hatchback,10,80120,109,2566,49,14.2,12.36,30,53,Moderate,Low,8,No,50001–80000
Truck,10,58036,86,2026,32,11.2,11.23,43,93,Moderate,Low,8,No,50001–80000
Hatchback,1,92806,107,2709,22,12.2,11.68,38,109,Critical,Medium,12,Yes,50001–80000
Truck,1,111755,99,1646,49,5.8,11.32,36,54,Moderate,Medium,8,Yes,50001–80000
Hatchback,4,57694,109,2038,47,16.5,12.89,32,63,Good,Low,3,No,50001–80000
Truck,15,93031,110,2585,29,19.4,11.64,35,97,Worn,High,7,No,10001–25000
SUV,2,119536,103,2747,35,15.7,12.24,30,63,Moderate,High,11,No,50001–80000
Truck,13,20430,103,1665,20,16.9,12.33,39,93,Worn,High,11,Yes,25001–50000
Truck,2,150889,105,1949,23,8.6,12.0,30,39,Good,High,11,No,25001–50000
SUV,5,197788,102,2396,27,6.6,11.29,30,44,Good,Medium,2,No,50001–80000
SUV,3,160031,88,2432,22,13.0,11.42,36,62,Worn,High,5,Yes,50001–80000
Truck,13,80282,108,1555,21,10.3,12.31,43,98,Moderate,High,11,Yes,25001–50000
Sedan,12,180144,92,1636,44,6.1,11.7,40,77,Critical,Low,10,Yes,50001–80000
Sedan,5,192893,110,2760,29,16.6,12.26,33,79,Worn,Medium,10,Yes,50001–80000
